Experiment ID,CURRENT (A) mean,CURRENT (A) std,CURRENT (A) max,CURRENT (A) rms,CURRENT (A) peak_to_peak,CURRENT (A) skew,CURRENT (A) kurtosis,CURRENT (A) crest_factor,ROTO (RPM) mean,ROTO (RPM) std,ROTO (RPM) max,ROTO (RPM) rms,ROTO (RPM) peak_to_peak,ROTO (RPM) skew,ROTO (RPM) kurtosis,ROTO (RPM) crest_factor,CURRENT (A) Frequency Center,CURRENT (A) Spectrum Area,CURRENT (A) Amp @ 1x RPM,CURRENT (A) Amp @ 2x RPM,CURRENT (A) Amp @ 3x RPM,ROTO (RPM) Frequency Center,ROTO (RPM) Spectrum Area,ROTO (RPM) Amp @ 1x RPM,ROTO (RPM) Amp @ 2x RPM,ROTO (RPM) Amp @ 3x RPM
0,4.2822667254,0.9590326973409209,7.273976000000002,4.38834012223804,5.975432000000002,0.058508490454615564,-0.37924115986147333,1.698627494839325,22969.800642,518.4221269078982,25191.88,22975.65007384674,4760.810000000001,-0.10860398595701426,0.7088627767609847,1.0967391660307646,2864.7971274382385,1292778.5550451938,64.51434424157952,192.4128223313315,979.1206704084082,9348.489312325573,1890388141.4248002,77752.66663981721,166198.4510041962,166198.4510041962
1,4.2401929182,0.9630686926621037,7.298392,4.348185150474464,6.110935999999999,0.058439022120192384,-0.36573158272560446,1.7212405522101184,22970.5276085,521.2691009765471,25330.74,22976.441266990343,4753.190000000002,-0.099887574590444,0.5272341026293614,1.1027495942507926,2820.7105728769243,1305889.1650678634,57.439400780270745,361.4767344566295,274.89791256531674,9393.27990763059,1894902003.9863062,29582.295618885408,177100.6825675849,177100.6825675849
2,4.2397384832,0.9667524194903427,7.439992000000001,4.348559448974045,6.341648,0.047410975150660124,-0.363346280310445,1.7548233291937776,22972.9861705,522.8264956394931,25063.710000000003,22978.93457714779,4551.77,-0.11434803087413334,0.7029695261165623,1.0910079261783014,2800.0857038796707,1315127.937975912,843.0105924933258,275.59575522594656,105.2481329067206,9123.76406762613,1849157983.696916,83713.25370213187,23324.72190931584,23324.72190931584
3,4.2420710904,0.9698131779612802,7.300832,4.351514819314626,6.226904000000001,0.03459452335937227,-0.3817386465819359,1.7210536656309499,22974.7583305,525.7272968605834,25367.36,22980.772454941845,4792.860000000004,-0.12013867154947727,0.6356612496423248,1.1041404499268972,2699.8885917089647,1304290.4691465609,632.3629193215039,216.7809242180554,105.92682208108612,9330.988496857817,1882491608.6201487,129477.29317131848,89113.83956205558,89113.83956205558
4,4.2458922204,0.961608881675869,7.288623999999999,4.35342041058294,6.010831999999997,0.04719714940827958,-0.3976273129205645,1.716629537834417,22975.54448125,522.7419434363879,24964.52,22981.490302368264,4502.93,-0.12974660734780152,0.6410626561818682,1.086569244109674,2796.3356954785286,1319682.024126493,105.24407618495333,303.62546454727607,77.78027856885846,9295.572444526206,1878352031.9265296,94966.45228770332,14365.635080484379,14365.635080484379
5,4.1634279774000005,0.9550394553301091,7.138472,4.2715582732447,6.018152000000001,0.06203560136597082,-0.39940861057943833,1.7145659871502983,22976.43470975,516.7662878887901,25033.19,22982.245162114123,4493.779999999999,-0.12116689812310003,0.6618023134437556,1.0895158590195553,2833.425305608604,1313076.2190073612,1126.81099697273,176.2834468456252,47.11045286373786,9405.031522291662,1899635305.1002827,30683.076203194913,86156.2015493842,86156.2015493842
6,4.1109911764,0.9577829442779768,7.061568000000001,4.221086789807127,6.103608000000001,0.035683829655649466,-0.3949223134342321,1.7177288145346552,22975.62031225,527.3797020226746,25057.6,22981.672069924472,4777.5999999999985,-0.11340780211141625,0.6480834696412621,1.0906169086821103,2804.508575918801,1265120.2272395876,531.0365156500782,538.4291543905659,834.9982724077498,9172.568169758755,1854494650.51535,131405.6100723547,23904.299655180897,23904.299655180897
7,4.1550684232,0.9588172560953058,7.383839999999999,4.264258569645678,6.298919999999999,0.04729687763927667,-0.3750216321379094,1.7770682087380358,22973.82344325,523.7738653303954,24987.41,22979.793206318238,4475.4699999999975,-0.10925009924300005,0.5997201638401513,1.0876469936196718,2698.043127461226,1236389.6478493419,506.2240120301307,419.3500658283757,417.2278727998573,9349.305016775188,1884756487.9847662,49526.048974219055,76965.90179615346,76965.90179615346
8,4.089303979,0.9554068654122199,7.300832,4.199426924127275,6.162199999999999,0.04273375619242603,-0.364274266787294,1.7853483227200315,22973.8380435,528.3078123686729,25056.08,22979.911588512456,4817.279999999999,-0.13269171277712719,0.6083266230468989,1.0906353545523115,2789.365961480549,1305771.3240579735,479.7605280245435,656.4150821960246,326.7680082296673,9383.185727328879,1896517522.6290846,72001.69221133529,33740.172125097226,33740.172125097226
9,4.1169026330000005,0.9491814896261176,7.078664000000001,4.2249035807002375,5.903416000000001,0.05293970502190274,-0.3790571512165042,1.7194149658190374,22971.85399725,523.251826420141,25011.83,22977.81237846656,4727.25,-0.10965962393375676,0.6325106705134518,1.0888032808755534,2809.962210987068,1299456.7508217571,558.059717073506,1078.6345383585406,204.0830478767336,9363.230855352345,1889623166.9813347,110080.75357181375,333876.9166173708,333876.9166173708
