Experiment ID,CURRENT (A) mean,CURRENT (A) std,CURRENT (A) max,CURRENT (A) rms,CURRENT (A) peak_to_peak,CURRENT (A) skew,CURRENT (A) kurtosis,CURRENT (A) crest_factor,ROTO (RPM) mean,ROTO (RPM) std,ROTO (RPM) max,ROTO (RPM) rms,ROTO (RPM) peak_to_peak,ROTO (RPM) skew,ROTO (RPM) kurtosis,ROTO (RPM) crest_factor,CURRENT (A) Frequency Center,CURRENT (A) Spectrum Area,CURRENT (A) Amp @ 1x RPM,CURRENT (A) Amp @ 2x RPM,CURRENT (A) Amp @ 3x RPM,ROTO (RPM) Frequency Center,ROTO (RPM) Spectrum Area,ROTO (RPM) Amp @ 1x RPM,ROTO (RPM) Amp @ 2x RPM,ROTO (RPM) Amp @ 3x RPM
0,4.9001683484,1.0074067352676022,8.162664,5.002648578624672,6.778672,0.10374099581706915,-0.3750869239542678,1.6657925645891876,22627.54953175,509.5379646560122,24814.980000000003,22633.285670854377,4589.9100000000035,-0.10916381082132508,0.6784967073557806,1.0966711161180178,2749.970269303929,1356787.2026752804,200.34384241810625,109.51585324297453,581.1325066961454,9518.593620162483,1897418379.2374117,85077.08515251566,97185.70805921986,97185.70805921986
1,4.7782324532,0.9978200175666384,7.873352,4.881303644842296,6.057224000000001,0.08865683009742054,-0.420981694797951,1.6477540758250864,22658.243097,512.7650779659858,24769.21,22664.04424842859,4458.690000000002,-0.11318360492128088,0.6290058861072803,1.0931655157005309,2787.05672986123,1341155.166173757,597.0337399408429,146.55210214610935,589.871839484972,9453.14991742546,1880085000.9076648,67151.9246105886,96199.66946534291,96199.66946534291
2,4.7180870668,1.009098530475891,8.082096,4.8247901464331,6.422215999999999,0.09065766536908369,-0.38882519450356234,1.713002724530391,22674.34272325,517.4146198687024,24737.16,22680.24534980402,4419.010000000002,-0.11511175834621015,0.6049088878694469,1.0909758356362327,2815.267554824589,1352553.2314172941,436.3621900657415,371.72598182936474,312.922666446194,9524.727800430805,1901991821.3052917,69448.35413292979,150543.66163146766,150543.66163146766
3,4.6687645402,1.008809185099332,7.999088,4.7765084383229555,6.5076719999999995,0.08390362953881664,-0.4039026836299784,1.7133200723927142,22673.270291,514.1353662387153,25057.6,22679.098620870744,4791.329999999998,-0.11375442830517093,0.6386176546539968,1.1051603795305365,2757.4709666844374,1330682.5035270206,531.0567399170064,530.3002302066324,659.5162640633233,9494.606403257812,1896451517.4677866,201600.93203149454,87878.86600924096,87878.86600924096
4,4.6279353416,1.0050263223734661,7.807431999999999,4.735803858137087,6.202487999999999,0.1020487129138306,-0.39090932903229625,1.68702270531307,22677.813123,518.4264571481448,25048.45,22683.737948451802,4860.000000000004,-0.10736098717007661,0.5960232700767669,1.1045355151372898,2739.361325552855,1324662.8127935051,754.3658519928225,79.05242190800057,900.4079735840347,9565.596666694923,1910949405.266819,28278.24117337778,38943.17792376012,38943.17792376012
5,4.6087233038,1.0074665038686892,7.940487999999999,4.71755168203674,6.281831999999999,0.10368689722500343,-0.39843008501053356,1.7229257381220702,22682.94712275,515.1221139031193,24770.73,22688.795347746753,4600.59,-0.10283433725352054,0.6364397687776218,1.0920419584788452,2830.453822343529,1377358.8786050112,696.4695821354027,417.66901317564026,303.6572013136422,9559.179576285982,1911510115.2246006,205603.7773650909,99780.28931139823,99780.28931139823
6,4.6420254824,1.000055342408635,7.852599999999998,4.748524640808322,6.4954639999999975,0.09464874672470659,-0.41746516131772493,1.691632247555022,22681.319286500002,523.8166224372677,24784.47,22687.36700391877,4679.950000000001,-0.10985715626375622,0.5763403687007771,1.0927261190997741,2812.7138957753073,1358358.9164756213,332.0920348930166,111.39401445807766,493.358214834713,9628.658066020676,1930193603.2681894,156855.25861719527,11240.629361932337,11240.629361932337
7,4.5064061248,1.006756158557936,7.591360000000002,4.617491611847305,6.080408000000002,0.06983794365937102,-0.40933935587732995,1.6845707621030084,22699.63886175,522.3948521390457,24689.86,22705.648944987297,4617.379999999997,-0.12240048113256426,0.6231891676023595,1.087676334869081,2852.2239185844473,1392531.3575224227,459.8285949461445,147.70582224835456,327.7520909740583,9597.270593680236,1924828089.5111017,33601.647391506005,148617.78378261026,148617.78378261026
8,4.5035451066,1.0003815650471415,7.785455999999999,4.613312994344204,6.182951999999999,0.09483318199512834,-0.4161267098623207,1.7287394298749932,22684.77174625,522.2000598639493,25046.92,22690.78128369893,4701.299999999996,-0.11697915992802388,0.6354462746266205,1.1041292493560346,2802.4239430215453,1327772.1639661745,84.51450056085508,436.7234929836076,283.2480153762976,9572.755247730904,1914646114.446198,233527.64903417433,139206.9497740124,139206.9497740124
9,4.490618058,1.0118128711638252,7.761040000000001,4.603193482242118,6.292816000000002,0.08360263152993898,-0.3944746345558561,1.728278802552306,22701.8481135,522.9167979860819,24927.899999999998,22707.86962508791,4876.779999999999,-0.1250676854211923,0.6686830457640687,1.098055976560615,2793.8333785448885,1362440.900389048,600.2171376556483,659.139084494687,547.0784226498802,9595.593435808123,1920491564.042526,160613.12967056615,103137.98284941247,103137.98284941247
