Experiment ID,CURRENT (A) mean,CURRENT (A) std,CURRENT (A) max,CURRENT (A) rms,CURRENT (A) peak_to_peak,CURRENT (A) skew,CURRENT (A) kurtosis,CURRENT (A) crest_factor,ROTO (RPM) mean,ROTO (RPM) std,ROTO (RPM) max,ROTO (RPM) rms,ROTO (RPM) peak_to_peak,ROTO (RPM) skew,ROTO (RPM) kurtosis,ROTO (RPM) crest_factor,CURRENT (A) Frequency Center,CURRENT (A) Spectrum Area,CURRENT (A) Amp @ 1x RPM,CURRENT (A) Amp @ 2x RPM,CURRENT (A) Amp @ 3x RPM,ROTO (RPM) Frequency Center,ROTO (RPM) Spectrum Area,ROTO (RPM) Amp @ 1x RPM,ROTO (RPM) Amp @ 2x RPM,ROTO (RPM) Amp @ 3x RPM
0,3.2476842178,0.993307633577299,6.661176,3.396187298570083,6.640728000000002,0.011600913383709305,-0.2889080241013233,2.0510540906320998,21689.25505975,510.149140259432,23904.02,21695.25364419358,4617.380000000001,-0.12248235272556235,0.6417940836558573,1.1021134628251972,3677.670942919229,1425389.039335628,1408.9896512108444,436.32276162867566,381.4864928153188,9541.908276317215,1824633817.1065989,102584.18109901613,61255.53615743123,61255.53615743123
1,3.2433744196,0.9751517753585903,6.533000000000001,3.386794182951782,6.606552000000001,0.014186756956981763,-0.292782909581184,2.014260197811422,21714.09743225,512.6760182635321,24085.6,21720.148651103453,4724.189999999999,-0.10607203783329335,0.5624703627644063,1.109214881030598,3717.5535078277785,1413292.0574095894,1015.7295334674329,457.6476645380263,291.97666400991744,9695.833745223104,1854485217.298141,32701.052869585386,91833.64727040337,91833.64727040337
2,3.2255070348,1.001281581881892,6.46464,3.3773414653600016,6.450295999999999,0.04789335498938714,-0.3179420160537689,2.004224430532313,21720.252989750003,517.0231444228983,23701.08,21726.40550546246,4324.41,-0.11913382639697319,0.49847020246248475,1.091197234727642,3677.5163419868472,1443022.2417806934,2390.1806793615197,1766.536569555124,2757.5280240498196,9761.985349342098,1873680065.3574653,26048.856089817902,131530.6308018979,131530.6308018979
3,3.1566503966,0.988686310074221,6.316928000000001,3.307856996390203,6.284272000000001,0.05329560850263517,-0.32553268322972384,2.001149068266764,21765.561416999997,514.4354835483412,23997.1,21771.639833688136,4585.34,-0.10018392725477553,0.5579381295126034,1.1025261209783017,3674.1528876598027,1419509.9724305377,138.4482501972479,1865.1197723258995,514.5252054715639,9744.230813759556,1867824161.635164,157119.76748061326,188633.55685866077,188633.55685866077
4,3.1793797478,0.977374876333757,6.440224000000001,3.3262130641418626,6.3587440000000015,0.05826567347859066,-0.34530203491503864,2.0256227663450304,21737.5618175,521.390106690852,24140.54,21743.813709117312,4751.66,-0.10905137111564644,0.48052515853203515,1.1105449729217314,3685.714707641781,1377721.2787255852,1306.0319781743108,2208.2916009706273,578.1000673332543,9716.946030560845,1863824916.195181,168747.36339790848,100733.82406523702,100733.82406523702
5,3.2325841563999997,0.9955319284482895,6.751504,3.3824043773139763,6.783543999999998,0.07184010522929658,-0.3439736590932636,2.0885779529151933,21751.667939500003,516.2155461535544,23926.91,21757.79239671159,4551.77,-0.12423814825649598,0.5469775832900385,1.1000034602656776,3705.164032323048,1428354.1480262252,693.208318886963,1435.5706981595033,648.7658824232376,9722.259091148071,1868882405.4971526,207978.8115936567,59884.32204241879,59884.32204241879
6,3.230607661,0.985811473965925,6.546423999999999,3.3776657362605036,6.825056000000001,0.03272025145675864,-0.3096927154660709,2.0263754336463204,21754.842329249997,514.9069277952386,23995.570000000003,21760.934889994744,4571.600000000006,-0.12225021938082524,0.5879745406613188,1.1029990305991455,3710.0903120370203,1437721.3319455157,1997.3888635472717,2063.8510913447562,1352.7103060270526,9627.564311670963,1851206753.0308402,124624.03710274953,180735.35948278793,180735.35948278793
7,3.137372856,0.9725761456090423,6.496376000000001,3.2846596701887334,6.591896000000001,0.04656539622066152,-0.27780815694611816,2.070641998312744,21762.37301125,521.4474987683809,24030.670000000002,21768.61915182189,4614.330000000002,-0.11922140631604157,0.4511125753490912,1.104230222851957,3711.72396375364,1418198.486602961,1134.828958978022,1735.6701750807715,942.2527230267506,9838.44751492179,1890825702.587002,36513.34465497305,136842.06005474777,136842.06005474777
8,3.1431148874,0.9916017073678313,6.440224000000001,3.295818647863026,6.524760000000001,0.03793432188300273,-0.3260538013352341,2.048994144572102,21745.8809435,517.9918583145558,24015.41,21752.04925670838,4615.8499999999985,-0.09982878434295189,0.43222162598292124,1.1043659285359224,3625.923819713546,1384316.2412339284,980.091457980963,903.2043156920583,1703.6182015601003,9787.852549743657,1877243889.7516897,171221.5178941099,64727.62536780594,64727.62536780594
9,3.1030766898,0.9892028401371512,6.4023840000000005,3.2569284208682063,6.605327999999999,0.05540743026729153,-0.30839028148645387,2.0632374381996494,21745.0936935,519.0721783717436,23826.2,21751.28798323343,4464.790000000001,-0.11112177450394975,0.46577850892055395,1.095704637369398,3697.931260779395,1427411.7194906846,415.7740409700205,1183.9731097842548,2185.755361606549,9759.771565480009,1876966222.532868,69076.88792214061,72243.08040428215,72243.08040428215
