,count,mean,std,min,25%,50%,75%,max
CURRENT (A) mean,46.0,4.1112204277869555,0.14610160433352226,3.916438879,4.00532505915,4.0908662972,4.2107701463,4.5619726652
CURRENT (A) std,46.0,0.9585629240983259,0.006214657848707888,0.9424243471920148,0.9553217477906658,0.9583324427304771,0.961858272688616,0.9712473637616114
CURRENT (A) max,46.0,7.151770956521738,0.16928365472516577,6.880904000000001,7.035627999999999,7.120163999999999,7.263294000000002,7.641416
CURRENT (A) rms,46.0,4.22160502258237,0.14271132305931647,4.031437161374907,4.119745086289454,4.200994937725215,4.317971045387607,4.661040466823294
CURRENT (A) peak_to_peak,46.0,6.060776695652174,0.14558526736526747,5.786224000000001,5.976042000000002,6.046236,6.152129999999999,6.368504000000002
CURRENT (A) skew,46.0,0.04547834753081766,0.01973932754079805,0.0075507994842894,0.03459567954750342,0.045482181870608304,0.05659298192665105,0.0924328186690376
CURRENT (A) kurtosis,46.0,-0.3804504457646646,0.014087160213925276,-0.4032969195701468,-0.39021401743367146,-0.38150333767169875,-0.37346645781959625,-0.3318051870837926
CURRENT (A) crest_factor,46.0,1.7404758065008907,0.03395042217658353,1.6672647028380532,1.715322054649682,1.7413792319001042,1.7597978174602074,1.824229111419788
CURRENT (A) Frequency Center,46.0,2789.662920734928,44.085463435787425,2698.043127461226,2755.5856606523603,2797.6244749728066,2812.71161255968,2864.7971274382385
CURRENT (A) Spectrum Area,46.0,1277375.2758611052,41256.78077147412,1156276.240080566,1260829.4916589581,1286395.0336704368,1305859.704815391,1348227.9536677082
CURRENT (A) Amp @ 1x RPM,46.0,490.3497185344554,288.13601291823807,57.439400780270745,262.3098234216484,520.1561140348495,657.2727138859858,1180.0907495937847
CURRENT (A) Amp @ 2x RPM,46.0,384.6513263760207,221.24173357408978,68.2212920032567,222.5883311362037,326.69191201781655,492.0777324982971,1078.6345383585406
CURRENT (A) Amp @ 3x RPM,46.0,346.9726413492193,216.84375156226804,39.183912827885486,194.19648085999668,315.37932889178774,455.71337911216017,979.1206704084082
