,count,mean,std,min,25%,50%,75%,max
CURRENT (A) mean,46.0,3.1607365485478267,0.040137616179026704,3.0866873834,3.1318681263499997,3.1584528731,3.1786121198,3.2476842178
CURRENT (A) std,46.0,0.9821364703623664,0.010367749254582361,0.95391887581297,0.9754573861159708,0.9823342062265268,0.9893961125293858,1.0027156760232554
CURRENT (A) max,46.0,6.398665217391303,0.1619898938035488,6.1289359999999995,6.282444000000001,6.385287999999999,6.481726,6.835736
CURRENT (A) rms,46.0,3.3098368712025565,0.03895500829555333,3.241386764581724,3.2820100120993083,3.3074411333779015,3.326913148671145,3.396187298570083
CURRENT (A) peak_to_peak,46.0,6.467596347826088,0.2156844560878709,6.112151999999998,6.343171999999999,6.453955999999998,6.587928000000001,7.183943999999999
CURRENT (A) skew,46.0,0.030576553335387297,0.018526158374172205,-0.0107885460465481,0.0156132916688616,0.02977447802123985,0.04747198177010707,0.0718401052292965
CURRENT (A) kurtosis,46.0,-0.3326213292753017,0.023294424337331428,-0.3641164486238222,-0.3495642714167051,-0.33887126999817285,-0.3185518491129843,-0.2778081569461181
CURRENT (A) crest_factor,46.0,2.02452754307291,0.0488591542684957,1.930624004104136,1.9873865922283098,2.0159893514781126,2.05006960358661,2.146281210613214
CURRENT (A) Frequency Center,46.0,3659.5368969314636,49.9785492595282,3556.903910178466,3626.729358273433,3673.1332028017296,3698.1875672140186,3757.8310434402474
CURRENT (A) Spectrum Area,46.0,1404508.9136854054,31583.381035452963,1308675.8123503958,1390341.75121162,1411115.5548834107,1426855.7584916078,1457092.728128234
CURRENT (A) Amp @ 1x RPM,46.0,1264.1986080023155,725.1210523937,108.91934814899052,837.7114572291887,1203.3254327595957,1718.5037119475596,3837.0468531642086
CURRENT (A) Amp @ 2x RPM,46.0,1101.2486906221077,634.9049216490823,113.06128395904184,580.1256337997837,975.247096053788,1496.904535912927,2411.297089150086
CURRENT (A) Amp @ 3x RPM,46.0,1046.187551521177,597.3057701371924,48.08259832089699,626.218119754148,926.4434288740514,1380.4314895483344,2757.5280240498196
