,count,mean,std,min,25%,50%,75%,max
CURRENT (A) mean,46.0,4.363635545665217,0.18538613990889563,4.1095241124,4.22610424395,4.3260709113999996,4.4473073307,4.9001683484
CURRENT (A) std,46.0,0.9668414490417815,0.046789746397910364,0.8884971782507098,0.9066573843869613,0.9889785065888212,1.0051749543181303,1.026084000162154
CURRENT (A) max,46.0,7.525789913043478,0.2568369349551341,7.077439999999998,7.323108,7.5114079999999985,7.652094,8.162664
CURRENT (A) rms,46.0,4.469578715762163,0.18834541294027227,4.205089355525975,4.321690206855877,4.433747744742951,4.55914861600543,5.002648578624672
CURRENT (A) peak_to_peak,46.0,6.170934260869565,0.23115894630918948,5.708095999999997,6.019990000000003,6.151216000000002,6.309298000000001,6.778672
CURRENT (A) skew,46.0,0.04834735171960613,0.03345367436753779,-0.0165491901504843,0.017359019768410002,0.052112476553119194,0.07087616744562396,0.1037409958170691
CURRENT (A) kurtosis,46.0,-0.3911357899487759,0.018049697330162946,-0.420981694797951,-0.4036943112638389,-0.39269198179407616,-0.3783053139539367,-0.3477900792352439
CURRENT (A) crest_factor,46.0,1.7255074899961778,0.03420592501774036,1.6477540758250864,1.6953206139287842,1.7257542408746538,1.7517555769603392,1.798336595450029
CURRENT (A) Frequency Center,46.0,2822.315009785121,67.04660914588811,2711.50587180921,2771.774508841594,2813.9907252999483,2850.0054799406626,3005.2177585279596
CURRENT (A) Spectrum Area,46.0,1243405.7284411322,123197.78264015785,1012855.6488878764,1094042.323664558,1302020.4900053516,1330108.5533804393,1392531.357522423
CURRENT (A) Amp @ 1x RPM,46.0,446.36117609646647,224.83283034278196,69.80261280584627,245.94615600486654,474.0774971270557,589.7142812210126,884.9447788751972
CURRENT (A) Amp @ 2x RPM,46.0,326.74260110772633,191.88025551497168,24.96785210081744,199.00998668319085,295.4764947083329,423.5780683282227,812.5383324725224
CURRENT (A) Amp @ 3x RPM,46.0,366.4841782068041,197.1362363494193,17.69808237322813,234.4048946896819,329.5941294787538,512.4896886886772,900.4079735840347
