,count,mean,std,min,25%,50%,75%,max
CURRENT (A) mean,184.0,3.695296517528261,0.5640233386154327,3.0426357154000003,3.1561456774,3.5820615484,4.21844545685,4.9001683484
CURRENT (A) std,184.0,0.974947809351427,0.02816000817851394,0.8884971782507098,0.9603626931538778,0.9791521609530197,0.9956010897965586,1.026084000162154
CURRENT (A) max,184.0,6.8626125652173915,0.5297649668584571,6.116727999999998,6.371861999999999,6.858320000000001,7.295643999999999,8.162664
CURRENT (A) rms,184.0,3.8248625561737186,0.5430719742515248,3.20062829075212,3.3068255435573235,3.713812229972495,4.316891748655811,5.002648578624672
CURRENT (A) peak_to_peak,184.0,6.311502956521741,0.28814997437092593,5.708095999999997,6.082244000000003,6.290376,6.5076719999999995,7.183943999999999
CURRENT (A) skew,184.0,0.03354377479971948,0.02844820119663374,-0.0413871663498164,0.012171254058602352,0.03310578384089855,0.051798929286789246,0.1037409958170691
CURRENT (A) kurtosis,184.0,-0.3559770854299048,0.036570112890116066,-0.420981694797951,-0.38691242906724105,-0.3604765559777592,-0.3273366622309784,-0.2656148472284809
CURRENT (A) crest_factor,184.0,1.8792854362743163,0.15258980771096514,1.6477540758250864,1.7299908763522804,1.877426557761962,2.020353480429647,2.157569018951497
CURRENT (A) Frequency Center,184.0,3250.875415525213,450.3417324439065,2698.043127461226,2801.806128474955,3281.060834353213,3692.6718362532433,3862.771309976067
CURRENT (A) Spectrum Area,184.0,1335272.3911410738,102617.2150881943,1012855.6488878764,1292558.1252121462,1350553.485101243,1413323.890922952,1479207.4766718252
CURRENT (A) Amp @ 1x RPM,184.0,839.349466006647,625.5762093196836,57.439400780270745,428.0165817061679,666.6593446866618,1122.4181406240523,3837.0468531642086
CURRENT (A) Amp @ 2x RPM,184.0,738.2659203321463,619.8121957797227,24.96785210081744,281.27915338897844,493.08305782944825,1074.3730093735014,3276.8842130723087
CURRENT (A) Amp @ 3x RPM,184.0,687.5820840405202,542.4841947528862,17.69808237322813,299.50554409796234,522.7617493581565,934.9071802656445,2757.5280240498196
