,count,mean,std,min,25%,50%,75%,max
ROTO (RPM) mean,184.0,22299.47778975136,574.564806430986,21623.94411725,21736.942201375,22242.577133125,22864.04205175,22996.8005595
ROTO (RPM) std,184.0,519.2855492453122,6.4007516066747865,496.79605900659953,514.5049489720276,519.1174468263837,523.8198099928074,535.4546212348969
ROTO (RPM) max,184.0,24485.099347826083,601.0545951650075,23542.38,23917.37,24514.38,25049.595,25432.97
ROTO (RPM) rms,184.0,22305.525412126462,574.5099170253609,21629.92761059002,21743.05611731663,22248.563631740086,22869.971741414814,23002.894305530655
ROTO (RPM) peak_to_peak,184.0,4633.941141304347,168.83783818037512,4185.549999999999,4517.0475,4640.269999999999,4751.66,5186.539999999997
ROTO (RPM) skew,184.0,-0.11384617001102514,0.008921840112878523,-0.1401519122203056,-0.12014357426070968,-0.11356208024681985,-0.10770392197906038,-0.0907160414743497
ROTO (RPM) kurtosis,184.0,0.5637397146383335,0.08477125422458073,0.3088966178106838,0.502061027915367,0.5681815642612549,0.6339979427384358,0.7897410534329641
ROTO (RPM) crest_factor,184.0,1.0980641421458361,0.006406138658463122,1.0848946658147889,1.0925007994330524,1.0987973348124425,1.102915965773883,1.1191355043242972
ROTO (RPM) Frequency Center,184.0,9575.092096194847,168.95384294664925,9123.76406762613,9457.814691684423,9575.758176820944,9731.833833100052,9839.695847962475
ROTO (RPM) Spectrum Area,184.0,1880391277.3829863,24692241.712388624,1814354582.643617,1864741878.766932,1878860037.161616,1900343950.0405917,1931495218.028576
ROTO (RPM) Amp @ 1x RPM,184.0,128078.41830885441,82854.35136907539,9137.747791700216,71635.83504196418,113363.38730036526,175914.98776728316,753453.7712794
ROTO (RPM) Amp @ 2x RPM,184.0,101767.37253997402,57486.2558496676,6802.709633219258,64477.376425649716,94006.5694616869,124699.80522102882,334237.7636745405
ROTO (RPM) Amp @ 3x RPM,184.0,101767.37253997402,57486.2558496676,6802.709633219258,64477.376425649716,94006.5694616869,124699.80522102882,334237.7636745405
