,count,mean,std,min,25%,50%,75%,max
ROTO (RPM) mean,46.0,22965.03603186413,22.25765983785192,22900.841613999997,22948.243586124998,22971.190802875,22982.833397062503,22996.8005595
ROTO (RPM) std,46.0,525.8001368495443,4.159719591019417,516.7662878887901,522.9328283346551,525.9043932351964,528.7381198874598,535.4546212348969
ROTO (RPM) max,46.0,25149.754347826085,151.26970725094765,24895.86,25022.89,25140.765,25292.59,25432.97
ROTO (RPM) rms,46.0,22971.054709599095,22.286858722341112,22906.779798745018,22954.183423055914,22977.126822728453,22988.850004984815,23002.894305530655
ROTO (RPM) peak_to_peak,46.0,4691.253478260869,175.06301173155234,4411.390000000003,4518.574999999998,4750.895,4811.93,5186.539999999997
ROTO (RPM) skew,46.0,-0.11987961357704208,0.008223311942274948,-0.1401519122203056,-0.12419416528823644,-0.12038139465219949,-0.11364160182501087,-0.099887574590444
ROTO (RPM) kurtosis,46.0,0.6097355516117388,0.05919022175969576,0.4908280362711958,0.5718622547039417,0.6154927359853986,0.6476164978501928,0.7458774728531212
ROTO (RPM) crest_factor,46.0,1.0951323864799178,0.006503647859742635,1.0848946658147889,1.089459616902578,1.0956661807050807,1.1011578005892257,1.1065653316249542
ROTO (RPM) Frequency Center,46.0,9418.334281048461,91.209771868003,9123.76406762613,9379.230315731375,9435.776840784367,9478.150683886533,9563.133439914298
ROTO (RPM) Spectrum Area,46.0,1899541166.4085262,17063992.806489415,1849157983.696916,1891001971.6182132,1901758778.26124,1910820322.88394,1931495218.028576
ROTO (RPM) Amp @ 1x RPM,46.0,111376.91974591272,61587.324520785376,13146.6678632101,65646.33748142699,99330.74218476767,156480.89538373015,314182.02560809324
ROTO (RPM) Amp @ 2x RPM,46.0,115434.47412035114,61818.84487752932,6802.709633219258,79315.10190891198,113361.5418513646,148016.33368517895,333876.9166173708
ROTO (RPM) Amp @ 3x RPM,46.0,115434.47412035114,61818.84487752932,6802.709633219258,79315.10190891198,113361.5418513646,148016.33368517895,333876.9166173708
