,count,mean,std,min,25%,50%,75%,max
ROTO (RPM) mean,46.0,21684.109079820657,38.24164922754673,21623.94411725,21657.450076187502,21683.075638249997,21711.5907700625,21755.9269495
ROTO (RPM) std,46.0,512.4271556933242,4.551785435060525,496.79605900659953,510.4233944534611,512.4700111104241,515.4329723664948,519.4042777951547
ROTO (RPM) max,46.0,23842.2547826087,151.29704339828584,23542.38,23737.6975,23853.665,23933.39,24209.2
ROTO (RPM) rms,46.0,21690.163171453645,38.28805833101048,21629.92761059002,21663.510614737294,21689.119065507017,21717.639187448112,21762.087743381897
ROTO (RPM) peak_to_peak,46.0,4547.685869565217,168.12138862640748,4185.549999999999,4417.104999999999,4596.775,4657.0575,4982.070000000003
ROTO (RPM) skew,46.0,-0.10719974606756462,0.008299824720846246,-0.1303036505923143,-0.11148259122618526,-0.10648905483042,-0.1021498552497094,-0.0907160414743497
ROTO (RPM) kurtosis,46.0,0.5243626934462882,0.06764060753856246,0.3862382951168017,0.4876496693042031,0.5257603908330841,0.5686169566799507,0.6889349548693211
ROTO (RPM) crest_factor,46.0,1.099526570984719,0.006699950464139888,1.086956883246941,1.0947991720865027,1.1001500369285626,1.1034576398619722,1.1191355043242972
ROTO (RPM) Frequency Center,46.0,9684.798350566281,73.8328600730602,9529.426137357574,9643.105321106073,9679.86285986331,9746.245270142503,9810.686495245964
ROTO (RPM) Spectrum Area,46.0,1854778190.063479,16628151.660227224,1814354582.643617,1847450007.9181807,1853335795.2195556,1867161112.4121547,1883941749.6566308
ROTO (RPM) Amp @ 1x RPM,46.0,139161.48150662574,116516.31027195764,9137.747791700216,75387.75244500519,108644.57644232374,191703.43417251436,753453.7712794
ROTO (RPM) Amp @ 2x RPM,46.0,107059.57121067728,55560.16744103701,19338.437326149226,70497.82977984089,100354.58307058731,119601.808353929,334237.7636745405
ROTO (RPM) Amp @ 3x RPM,46.0,107059.57121067728,55560.16744103701,19338.437326149226,70497.82977984089,100354.58307058731,119601.808353929,334237.7636745405
