,count,mean,std,min,25%,50%,75%,max
ROTO (RPM) mean,46.0,21783.550492684783,40.700852609966724,21689.25505975,21752.6734211875,21778.017791375,21817.2521398125,21857.6047345
ROTO (RPM) std,46.0,518.2671890802045,3.5692151168848696,510.149140259432,516.4493756069421,518.5508521472716,520.0755612646094,527.7852907527141
ROTO (RPM) max,46.0,23975.77173913043,138.541306913688,23673.609999999997,23906.31,23962.765,24075.302499999998,24338.9
ROTO (RPM) rms,46.0,21789.714930910275,40.72499791948916,21695.25364419358,21758.81937219201,21784.150347676237,21823.373673309936,21863.841592625795
ROTO (RPM) peak_to_peak,46.0,4594.790869565217,131.14257606515469,4290.8399999999965,4523.1525,4615.09,4699.775000000002,4863.049999999999
ROTO (RPM) skew,46.0,-0.11423517936175105,0.00718983867204512,-0.1289322967704332,-0.11908876258571113,-0.1145158832894765,-0.10930396115171892,-0.0977547276119135
ROTO (RPM) kurtosis,46.0,0.4866940592289551,0.05973082580000421,0.3088966178106838,0.4513738961305488,0.477017794953446,0.5177911222344668,0.6417940836558573
ROTO (RPM) crest_factor,46.0,1.1006364432132236,0.005998472720747872,1.088632856357426,1.0973398512922032,1.1004989403433232,1.1045627736760901,1.113808397340953
ROTO (RPM) Frequency Center,46.0,9748.756935591047,55.60915528909234,9541.908276317215,9726.16204981253,9760.853393712416,9782.811345242775,9839.695847962475
ROTO (RPM) Spectrum Area,46.0,1874811639.037285,12611445.63063738,1824633817.1065989,1869770580.8102682,1876927498.269881,1880953216.399858,1893336042.4951532
ROTO (RPM) Amp @ 1x RPM,46.0,134862.700449811,73370.85303880186,19163.145026515136,81389.08431061283,129182.33966793462,180044.64150344796,346503.01797681017
ROTO (RPM) Amp @ 2x RPM,46.0,102587.12807497216,65165.21626211263,9793.42834977736,60227.1255711719,91954.23933822152,125424.31391639622,318934.69095408794
ROTO (RPM) Amp @ 3x RPM,46.0,102587.12807497216,65165.21626211263,9793.42834977736,60227.1255711719,91954.23933822152,125424.31391639622,318934.69095408794
