,count,mean,std,min,25%,50%,75%,max
ROTO (RPM) mean,46.0,22765.215554635866,71.82986367511285,22627.54953175,22705.1109621875,22775.834512250003,22832.4212995,22851.775531
ROTO (RPM) std,46.0,520.6477153581758,4.62880596506081,509.5379646560122,518.3735361821834,521.4767191367357,524.1333538767053,527.6047242558762
ROTO (RPM) max,46.0,24972.616521739128,148.43917389837776,24689.86,24836.35,24948.5,25103.3825,25214.77
ROTO (RPM) rms,46.0,22771.16883654283,71.8105984611166,22633.285670854377,22711.228381056422,22781.743568095517,22838.273899048985,22857.702388971415
ROTO (RPM) peak_to_peak,46.0,4702.034347826087,150.1516339149957,4409.860000000001,4597.1625,4692.1500000000015,4799.340000000001,5073.629999999997
ROTO (RPM) skew,46.0,-0.11407014103774282,0.0072750147401519855,-0.1292792494693625,-0.11926474527545952,-0.11346901661322584,-0.10912839252390795,-0.1017987826186824
ROTO (RPM) kurtosis,46.0,0.634166554266352,0.051879586614047596,0.5223397710921174,0.5991939039171049,0.6361994335384269,0.6638459464208445,0.7897410534329641
ROTO (RPM) crest_factor,46.0,1.0969611679054836,0.004974146422807288,1.087676334869081,1.0927608093448942,1.09651697101367,1.100045198661092,1.1073214183773086
ROTO (RPM) Frequency Center,46.0,9448.478817573598,120.75963922862351,9179.329924039394,9329.744210883451,9482.570626988982,9538.324883608511,9649.132650807343
ROTO (RPM) Spectrum Area,46.0,1892434114.0226548,22960776.390841544,1841795886.5362875,1870091875.934214,1896934948.352599,1909689356.676794,1930249599.384207
ROTO (RPM) Amp @ 1x RPM,46.0,126912.57153306813,68597.06889986896,12163.052312869297,69946.49239983072,121430.16160775485,172335.85633232654,294531.95635881164
ROTO (RPM) Amp @ 2x RPM,46.0,81988.31675389544,40789.958280121406,7927.412281724191,52514.93797495972,85676.7744491669,100297.66975145113,184891.200407335
ROTO (RPM) Amp @ 3x RPM,46.0,81988.31675389544,40789.958280121406,7927.412281724191,52514.93797495972,85676.7744491669,100297.66975145113,184891.200407335
