dataset_type,fault_id,fault_description,file,iteration,segment,window,start_time_s,original_fault_id,label_origin,label_rationale,ax_mean,ax_std,ax_rms,ax_peak,ax_p2p,ax_crest,ay_mean,ay_std,ay_rms,ay_peak,ay_p2p,ay_crest,az_mean,az_std,az_rms,az_peak,az_p2p,az_crest,acc_mag_rms,acc_mag_std,acc_mag_peak,acc_mag_p2p,acs_mean,acs_std,acs_rms,acs_min,acs_max,acs_p2p,rpm_mean,rpm_median,rpm_std,rpm_min,rpm_max,rpm_p2p,rpm_cv_percent,rpm_slope_rpm_per_s,dominant_frequency_Hz,dominant_amplitude,spectral_energy,spectral_centroid_Hz,group
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,0,0.0,HEALTHY,original_healthy,Original healthy recording,-0.913963,3.198292459724564,3.198292459724564,5.072737,9.4619,1.586076653051567,1.4966205,1.9175327365992345,1.9175327365992345,3.4970205,6.0107,1.823708369225552,10.8235095,2.142101022491645,2.142101022491645,3.2818905,6.157799999999999,1.532089507236487,4.300535227668819,0.988702165568248,5.608395316842376,3.457749232643607,1296.83,4.372768002078317,1296.8373722252147,1286,1309,23.0,3057.613385416667,3057.64,0.5858394061407433,3056.08,3058.88,2.800000000000182,0.0191600222884591,1.7502627973883866,98.0,63.52569285798082,7254.696407613919,69.2486847694942,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,1,1.0,HEALTHY,original_healthy,Original healthy recording,-0.911011,3.22638533561616,3.22638533561616,5.118789,9.5648,1.5865398790074894,1.494258,1.9275234244325024,1.9275234244325024,3.500558,5.8358,1.8160910293635613,10.8212215,2.1198585213612136,2.1198585213612136,3.253078499999999,6.072899999999999,1.5345734006395468,4.314940212355525,0.9871069188802724,5.648719520072425,3.475722252115732,1297.66,8.019625926438216,1297.684780676725,1277,1391,114.0,3059.89565,3059.98,0.8374733294260873,3058.57,3061.69,3.119999999999891,0.0273693427887348,2.686379659492411,98.0,63.73605553554265,7227.417977629982,69.1192744661249,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,2,2.0,HEALTHY,original_healthy,Original healthy recording,-0.92065,3.2388015951891838,3.2388015951891838,5.15945,9.6259,1.5930120596654296,1.5048970000000004,1.927114440424076,1.927114440424076,3.468097,5.8215,1.7996320961804526,10.829809,2.1298968540093672,2.1298968540093672,3.251690999999999,6.0944,1.526689423423928,4.328979839201148,0.991738072970001,5.676467662551245,3.478198862292733,1206.745,44.21877401059419,1207.554882810715,1158,1303,145.0,3060.481050000001,3060.44,0.7950115706704909,3059.35,3062.01,2.660000000000309,0.0259766865954125,-1.5816260406514902,98.0,64.46720632136413,7350.762304878891,69.45674697765762,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,3,3.0,HEALTHY,original_healthy,Original healthy recording,-0.923535,3.239631662392347,3.239631662392347,5.156565,9.6355,1.5917133604602658,1.4918494999999998,1.9208236379219592,1.9208236379219592,3.4670495,5.8215,1.8049806507748016,10.8264045,2.158521865265615,2.158521865265615,3.259895499999999,6.1316,1.5102443725298356,4.340966873728076,0.9904239274740132,5.66785795439472,3.417574732843376,1249.86,6.5658510491786215,1249.8772459725794,1237,1271,34.0,3060.8259000000003,3060.76,0.4902715472062179,3059.66,3061.69,2.0300000000002,0.0160176227993306,0.0637725943139238,98.0,64.07470874439521,7324.825005430422,69.15586309191521,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,4,4.0,HEALTHY,original_healthy,Original healthy recording,-0.904552,3.2474528109729324,3.2474528109729324,5.150348,9.6713,1.5859654627150572,1.50032,1.9240882229773144,1.9240882229773144,3.51142,5.8813,1.824978687602206,10.818543,2.148319467549228,2.148319467549228,3.2916570000000007,6.180600000000001,1.5322008899146995,4.343194882105453,1.002237801551767,5.64493757575343,3.391250512837862,1263.495,12.45993479116163,1263.5564352255897,1241,1299,58.0,3062.04525,3062.01,0.4171186132265082,3061.07,3062.79,1.7199999999998,0.0136222223765801,1.0304882622074694,98.0,63.25663893704799,7199.259635014087,69.33600699339864,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,5,5.0,HEALTHY,original_healthy,Original healthy recording,-0.9272455,3.271654006306252,3.271654006306252,5.1588545,9.6391,1.5768337636119494,1.4929075,1.931808899320466,1.9318088993204656,3.4980075,5.8634,1.8107419948373056,10.8322865,2.1311986599019224,2.1311986599019224,3.264813499999999,6.136399999999999,1.5319142046336711,4.356330254748973,0.9564026306179884,5.671308180553121,3.388639631812689,1254.78,4.709734599741264,1254.788838809144,1241,1272,31.0,3060.8434,3060.99,0.8147566753332205,3058.73,3062.01,3.2800000000002,0.0266186984715788,-1.7709382734566634,98.0,61.698387058837326,7034.273533174217,65.53563256428056,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,6,6.0,HEALTHY,original_healthy,Original healthy recording,-0.9329895,3.244728486967708,3.244728486967708,5.1710105,9.651,1.5936650850045264,1.488801,1.92877697767238,1.92877697767238,3.493901,5.8286,1.8114593031986463,10.8234605,2.153246304510877,2.153246304510877,3.2592395000000014,6.1351,1.5136398902309307,4.345677534243481,1.0053633680386962,5.707579935714567,3.43606592403172,1254.605,5.686736761975184,1254.6178880440052,1239,1272,33.0,3061.9947,3062.47,1.2237054016387785,3059.51,3063.73,4.2199999999998,0.039964321350353,2.2079801995045027,98.0,63.213180419770666,7262.245067230814,68.52248735392274,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,7,7.0,HEALTHY,original_healthy,Original healthy recording,-0.9111345,3.236257664426575,3.236257664426575,5.1342655,9.6092,1.586482299118704,1.502054,1.9245483731213409,1.9245483731213409,3.503654,5.8646,1.820507111659437,10.822438000000002,2.14855005907612,2.14855005907612,3.3248619999999978,6.223699999999999,1.547491056098406,4.33514907095474,0.9803251804898456,5.648008164277937,3.45929868066659,1247.705,6.905648050690101,1247.7241101301202,1233,1273,40.0,3059.6621,3060.13,1.428158461095972,3057.01,3061.69,4.679999999999836,0.0466769994338908,-4.496686417159619,98.0,63.36332600817405,7085.648476592427,69.08800702691413,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,8,8.0,HEALTHY,original_healthy,Original healthy recording,-0.9151845,3.2355407432003926,3.2355407432003926,5.1014155,9.6247,1.5766809646025357,1.5103915,1.9193808168463469,1.9193808168463469,3.4855915,5.8574,1.815997882966772,10.8274495,2.1528376952291945,2.1528376952291945,3.2672504999999994,6.14,1.5176483147059363,4.334449995442011,0.9895791357430866,5.670133448999481,3.4657258072592456,1246.41,8.172019334289416,1246.4367894121226,1224,1269,45.0,3059.7928500000003,3059.66,1.5143587347455376,3057.48,3062.32,4.8400000000001455,0.0494921979684192,5.120967524188329,98.0,64.27521520019343,7332.307259341484,69.33252255813349,healthy_cc_01A_1.csv
healthy,HEALTHY,,healthy_cc_01A_1.csv,1,0,9,9.0,HEALTHY,original_healthy,Original healthy recording,-0.9245275,3.2412395574986044,3.2412395574986044,5.1555725,9.6798,1.5906175426227254,1.4855915,1.9294576337866944,1.9294576337866944,3.4799915,5.8491,1.8036112527489268,10.824298,2.150450487199368,2.150450487199368,3.293102000000001,6.1734,1.5313544857704495,4.341990088377391,0.9981301265421249,5.697561264017483,3.5134377859758903,1240.515,6.108172803711434,1240.530037927337,1227,1263,36.0,3060.0381,3061.54,2.356386723354205,3056.39,3062.79,6.400000000000091,0.0770051432808698,-7.197404935124677,98.0,64.24447916600631,7411.38032620596,68.52819586789577,healthy_cc_01A_1.csv
