timestamp_ms,ax,ay,az,acs_adc,rpm
90238,-4.0558,-1.4449,12.2032,1401,2915.88
90243,-3.3543,1.8938,9.5253,1925,2914.18
90248,2.4277,3.2825,10.1646,1407,2914.18
90253,2.3236,2.0746,11.3952,1404,2914.18
90258,-3.8535,-1.2103,12.5229,1403,2914.18
90263,-4.1025,1.5287,9.7432,1421,2914.18
90268,2.1979,3.2166,9.93,1417,2917.01
90273,2.7545,2.6264,11.2408,1407,2917.01
90278,-3.5805,-0.929,12.5037,1405,2917.01
90283,-4.6639,1.2282,10.1478,1415,2917.01
90288,1.8902,3.1328,9.7492,1407,2915.45
90293,2.964,3.0646,11.0193,1415,2915.45
90298,-3.3686,-0.5387,12.6677,1403,2915.45
90303,-4.8949,0.6823,10.4375,1407,2915.45
90308,1.3803,3.0586,9.4751,1419,2915.45
90313,2.9401,3.4225,10.8828,1417,2915.45
90318,-3.073,-0.1425,12.6055,1401,2915.45
90323,-5.0458,0.1293,10.7967,1416,2915.45
90328,0.7314,2.9137,9.3158,1419,2915.45
90333,2.8479,3.5805,10.7224,1415,2915.45
90338,-2.5211,0.1257,12.3708,1403,2915.45
90343,-4.9488,-0.3783,11.1031,1415,2915.45
90348,-0.0204,2.7354,9.1279,1427,2915.74
90353,2.7569,3.6176,10.6494,1415,2915.74
90358,-1.7047,0.4274,12.1937,1414,2915.74
90363,-4.8351,-0.8966,11.406,1405,2915.74
90368,-0.984,2.5929,9.2189,1427,2915.74
90373,2.6228,3.6081,10.5656,1416,2915.74
90378,-0.5782,0.7865,11.9351,1405,2915.74
90383,-4.5777,-1.2151,11.8178,1403,2915.74
90388,-1.9094,2.3284,9.0585,1416,2915.59
90393,2.6097,3.5614,10.5237,1416,2915.59
90398,0.6776,1.2725,11.7627,1404,2915.59
90403,-4.3048,-1.3755,12.0811,1415,2915.59
90408,-2.7928,2.1548,9.3853,1426,2915.59
90413,2.5702,3.3878,10.2939,1404,2915.59
90418,1.7897,1.7538,11.5472,1421,2915.59
90423,-3.9911,-1.2941,12.3996,1401,2915.59
90428,-3.644,1.749,9.4391,1403,2915.59
90433,2.3858,3.2465,10.1299,1422,2915.17
90438,2.5079,2.2362,11.3198,1415,2915.17
90443,-3.723,-1.1552,12.4427,1405,2915.17
90448,-4.2952,1.4509,9.93,1419,2915.17
90453,2.0889,3.1484,9.8509,1406,2915.59
90458,2.8551,2.7581,11.163,1407,2915.59
90463,-3.4728,-0.8068,12.6067,1404,2915.59
90468,-4.7477,0.996,10.1837,1405,2915.59
90473,1.7358,3.0849,9.6893,1414,2915.45
90478,2.9521,3.1723,11.0109,1418,2915.45
90483,-3.3052,-0.4202,12.6593,1405,2915.45
90488,-5.047,0.5483,10.5022,1404,2915.45
90493,1.2091,3.0442,9.3829,1417,2915.03
90498,2.9437,3.4824,10.7464,1415,2915.03
90503,-2.9377,-0.0718,12.4977,1401,2915.03
90508,-5.029,-0.006,10.9343,1417,2915.03
90513,0.4752,2.897,9.2715,1423,2914.6
90518,2.8479,3.632,10.7021,1419,2914.6
90523,-2.3104,0.2454,12.3313,1415,2914.6
90528,-4.9033,-0.5758,11.1474,1405,2914.6
90533,-0.3747,2.6863,9.1626,1427,2914.46
90538,2.7521,3.6045,10.5967,1416,2914.46
90543,-1.3647,0.5387,12.0237,1415,2914.46
90548,-4.7082,-1.0127,11.6023,1406,2914.46
90553,-1.2641,2.4421,9.0297,1429,2913.89
90558,2.6061,3.5865,10.6123,1413,2913.89
90563,-0.103,0.9541,11.8238,1415,2913.89
90568,-4.4772,-1.3288,11.7771,1417,2913.89
90573,-2.247,2.2517,9.2668,1431,2913.75
90578,2.5295,3.3974,10.4172,1406,2913.75
90583,1.1277,1.4521,11.6562,1407,2913.75
90588,-4.2114,-1.3479,12.2583,1405,2913.75
90593,-3.1663,2.0016,9.4248,1415,2913.33
90598,2.4265,3.377,10.2687,1405,2913.33
90603,2.1021,1.9956,11.4766,1413,2913.33
90608,-3.869,-1.2366,12.293,1399,2913.33
90613,-3.9421,1.6783,9.7504,1420,2913.33
90618,2.2889,3.2286,10.0006,1415,2914.04
90623,2.7342,2.5043,11.3006,1405,2914.04
90628,-3.6272,-0.9673,12.5755,1400,2914.04
