timestamp_ms,ax,ay,az,acs_adc,rpm
23108,-1.8579,2.1452,9.2632,1388,2939.74
23113,2.6671,3.4848,10.4291,1375,2939.74
23118,0.4848,1.4629,11.6813,1383,2939.74
23123,-4.5586,-1.4461,12.1733,1375,2939.74
23128,-2.5402,1.9369,9.3889,1375,2939.74
23133,2.6396,3.3854,10.392,1383,2939.59
23138,1.3036,1.8471,11.5652,1381,2939.59
23143,-4.4161,-1.4054,12.2475,1369,2939.59
23148,-3.1184,1.8112,9.6331,1389,2939.59
23153,2.6372,3.2801,10.1897,1379,2939.45
23158,1.9333,2.2398,11.4826,1375,2939.45
23163,-4.2437,-1.2378,12.4487,1375,2939.45
23168,-3.6703,1.5395,9.8055,1383,2939.45
23173,2.5726,3.2573,10.0772,1381,2939.16
23178,2.4433,2.6336,11.3593,1375,2939.16
23183,-3.9959,-1.0714,12.5408,1375,2939.16
23188,-4.1563,1.2809,10.0353,1373,2939.16
23193,2.4181,3.1232,9.8593,1379,2939.02
23198,2.7378,2.9018,11.1354,1383,2939.02
23203,-3.8726,-0.8368,12.5265,1371,2939.02
23208,-4.5119,0.8787,10.1801,1373,2939.02
23213,2.1895,3.0957,9.6355,1387,2939.16
23218,2.8802,3.2106,10.993,1382,2939.16
23223,-3.7254,-0.5854,12.572,1371,2939.16
23228,-4.7812,0.5602,10.5345,1379,2939.16
23233,1.7813,2.9951,9.5493,1381,2938.87
23238,2.9281,3.45,10.9666,1381,2938.87
23243,-3.547,-0.3364,12.4834,1369,2938.87
23248,-4.9692,0.2538,10.8505,1386,2938.87
23253,1.3755,2.9137,9.3781,1395,2938.15
23258,2.8826,3.6966,10.9188,1380,2938.15
23263,-3.2848,-0.006,12.4175,1383,2938.15
23268,-5.0709,-0.079,11.0552,1372,2938.15
23273,0.8487,2.812,9.238,1387,2938.15
23278,2.8587,3.7852,10.7703,1385,2938.15
23283,-2.8994,0.2215,12.2499,1374,2938.15
23288,-5.0206,-0.4441,11.3665,1379,2938.15
23293,0.2921,2.7019,9.1339,1389,2937.43
23298,2.8347,3.7996,10.7595,1385,2937.43
23303,-2.1943,0.4729,12.0919,1377,2937.43
23308,-4.9237,-0.8236,11.4299,1375,2937.43
23313,-0.3675,2.545,9.1734,1385,2937.0
23318,2.7533,3.7014,10.6482,1383,2937.0
23323,-1.3934,0.7326,11.8968,1379,2937.0
