timestamp_ms,ax,ay,az,acs_adc,rpm
899,0.4669,2.8491,8.2971,1340,2992.07
19904,3.6787,3.5219,10.8876,1343,2992.07
19909,-1.8435,-0.1772,13.1095,1337,2992.07
19914,-6.2477,-0.0371,10.7368,1343,2992.07
19919,0.48,2.9568,8.4096,1353,2992.07
19924,3.6655,3.535,10.8565,1349,2992.07
19929,-1.6867,-0.1173,13.0161,1339,2992.07
19934,-6.2596,-0.0611,11.0097,1341,2992.07
19939,0.3735,2.8635,8.2337,1350,2992.07
19944,3.6811,3.5578,10.8852,1349,2992.07
19949,-1.7011,-0.1221,13.0233,1336,2992.07
19954,-6.1854,-0.1688,10.8972,1339,2992.07
19959,0.2981,2.9102,8.321,1353,2992.07
19964,3.6416,3.5602,10.8002,1351,2992.07
19969,-1.506,-0.0886,12.9682,1335,2992.07
19974,-6.2237,-0.164,11.1139,1343,2992.07
19979,0.2227,2.8204,8.1846,1349,2992.07
19984,3.632,3.65,10.7727,1343,2992.07
19989,-1.4569,-0.0287,12.9478,1336,2992.07
19994,-6.1938,-0.2682,10.9774,1349,2992.07
19999,0.1113,2.8635,8.3246,1341,2992.22
20004,3.5937,3.5626,10.726,1349,2992.22
20009,-1.3024,-0.0527,12.9335,1335,2992.22
20014,-6.2034,-0.3017,11.1701,1341,2992.22
20019,0.0455,2.8036,8.1547,1351,2992.37
20024,3.5781,3.6296,10.7224,1352,2992.37
20029,-1.2402,-0.0359,12.9371,1335,2992.37
20034,-6.2201,-0.4166,11.066,1344,2992.37
20039,-0.0443,2.8036,8.266,1343,2992.52
20044,3.4979,3.5686,10.726,1351,2992.52
20049,-1.1911,-0.0024,12.8473,1335,2992.52
20054,-6.2082,-0.3795,11.309,1351,2992.52
20059,-0.1939,2.7509,8.0924,1341,2992.52
20064,3.5015,3.6619,10.7272,1349,2992.52
20069,-1.1229,0.0527,12.8245,1337,2992.52
20074,-6.2118,-0.4202,11.218,1351,2992.52
20079,-0.2538,2.7509,8.2648,1342,2992.82
20084,3.4967,3.614,10.6578,1351,2992.82
20089,-1.008,0.0611,12.8533,1337,2992.82
20094,-6.2237,-0.401,11.3749,1355,2992.82
20099,-0.2849,2.7497,8.1606,1342,2993.27
20104,3.5111,3.6428,10.7093,1351,2993.27
20109,-0.9301,0.1041,12.8557,1340,2993.27
20114,-6.1687,-0.4549,11.2384,1357,2993.27
20119,-0.4202,2.7869,8.2708,1339,2993.41
20124,3.4333,3.6392,10.6674,1351,2993.41
20129,-0.8056,0.1544,12.8257,1339,2993.41
20134,-6.1854,-0.425,11.3892,1355,2993.41
20139,-0.3867,2.7701,8.1367,1339,2993.71
20144,3.5279,3.7421,10.7093,1353,2993.71
20149,-0.7973,0.1401,12.8269,1337,2993.71
20154,-6.1351,-0.5531,11.3677,1353,2993.71
20159,-0.4884,2.7461,8.2301,1339,2993.86
20164,3.4872,3.6595,10.7045,1351,2993.86
20169,-0.6416,0.1472,12.7395,1339,2993.86
20174,-6.1028,-0.5064,11.5149,1353,2993.86
20179,-0.5794,2.7054,8.078,1341,2994.61
20184,3.4716,3.6655,10.6542,1353,2994.61
20189,-0.571,0.1963,12.815,1339,2994.61
20194,-6.0777,-0.6201,11.3318,1355,2994.61
20199,-0.6201,2.709,8.1798,1341,2994.16
20204,3.4058,3.65,10.5919,1343,2994.16
20209,-0.5255,0.2203,12.7467,1339,2994.16
20214,-6.0753,-0.6823,11.5317,1354,2994.16
20219,-0.7039,2.6791,8.157,1340,2994.16
20224,3.4141,3.6703,10.6255,1349,2994.16
20229,-0.395,0.2274,12.7599,1341,2994.16
20234,-6.11,-0.7075,11.3988,1351,2994.16
20239,-0.7925,2.6564,8.1858,1349,2994.31
20244,3.3866,3.6787,10.641,1343,2994.31
20249,-0.346,0.2526,12.6917,1339,2994.31
20254,-6.1064,-0.6883,11.6789,1350,2994.31
20259,-0.905,2.6911,8.1032,1350,2994.01
20264,3.3555,3.7002,10.653,1343,2994.01
20269,-0.3089,0.2646,12.7144,1341,2994.01
20274,-6.0968,-0.7446,11.473,1350,2994.01
20279,-0.9445,2.6695,8.2145,1351,2994.01
20284,3.3267,3.7278,10.6135,1343,2994.01
20289,-0.2023,0.2897,12.6988,1366,2994.01
20294,-6.1172,-0.6883,11.6861,1349,2994.01
