timestamp_ms,ax,ay,az,acs_adc,rpm
390435,2.0027,3.4704,10.4591,1405,2771.87
390440,-2.2146,0.8667,11.6107,1397,2771.87
390445,-3.5686,-0.7506,11.4443,1407,2771.87
390450,-1.6867,2.1679,9.9036,1401,2772.26
390455,1.6197,3.3208,10.5357,1396,2772.26
390460,0.9649,1.8603,11.2659,1405,2772.26
390465,-2.9137,-1.0439,11.7675,1390,2772.26
390470,-3.237,1.3587,10.1155,1395,2772.26
390475,1.2055,2.8814,10.3597,1395,2772.13
390480,2.3272,2.9149,10.6901,1403,2772.13
390485,-1.227,-0.0012,-0.0012,1389,2772.13
390490,-3.7912,0.3962,10.9068,1405,2772.13
390495,0.1496,2.7414,10.0377,1400,2772.26
390500,2.0207,3.4991,10.4303,1405,2772.26
390505,-2.3068,0.8452,11.6358,1397,2772.26
390510,-3.5949,-0.6021,11.3725,1407,2772.26
390515,-1.6305,2.1476,9.8294,1405,2772.52
390520,1.6915,3.2884,10.4998,1391,2772.52
390525,0.8116,1.7849,11.2539,1414,2772.52
390530,-3.0167,-1.093,11.7938,1395,2772.52
390535,-3.1184,1.3204,10.167,1399,2772.52
390540,1.1564,2.8802,10.3166,1396,2772.52
390545,2.2541,2.8886,10.756,1401,2772.52
390550,-2.8623,-0.1903,11.9171,1391,2772.52
390555,-3.8511,0.5016,10.7943,1407,2772.52
390560,0.2873,2.7426,10.0114,1399,2773.28
390565,2.1332,3.5362,10.5082,1400,2773.28
390570,-2.4265,0.7961,11.6095,1397,2773.28
390575,-3.6045,-0.595,11.3725,1407,2773.28
390580,-1.5036,2.1608,9.76,1405,2773.54
390585,1.646,3.2681,10.5105,1395,2773.54
390590,0.6261,1.6915,11.2001,1399,2773.54
390595,-3.0215,0.0144,11.9255,1391,2773.54
390600,-3.0742,1.4174,10.1251,1406,2773.54
390605,1.2103,2.9796,10.4459,1389,2773.8
390610,2.2984,2.8527,10.7691,1404,2773.8
390615,-2.9281,-0.2227,11.898,1387,2773.8
390620,-3.6931,0.5686,10.7607,1415,2773.8
390625,0.395,2.7366,10.0353,1399,2773.54
390630,2.0315,3.456,10.4184,1405,2773.54
390635,-2.5486,0.6596,11.7436,1395,2773.54
390640,-3.6416,-0.571,11.3868,1401,2773.54
390645,-1.3659,2.2386,9.8485,1400,2773.03
390650,1.5909,3.3686,10.507,1392,2773.03
390655,0.3627,1.6041,11.2743,1406,2773.03
390660,-3.0598,-1.0499,11.7364,1391,2773.03
390665,-2.9054,1.506,10.0784,1407,2773.03
390670,1.2833,3.0418,10.3513,1397,2773.16
390675,2.2793,2.6923,10.8374,1407,2773.16
390680,-2.8503,-0.34,11.8872,1387,2773.16
390685,-3.723,0.5351,10.6841,1407,2773.16
390690,0.4621,2.7318,10.0916,1402,2772.9
390695,2.0051,3.4453,10.4435,1403,2772.9
390700,-2.7126,0.6596,11.7148,1395,2772.9
390705,-3.6703,-0.4202,11.3342,1400,2772.9
390710,-1.1935,2.3631,9.8845,1398,2772.77
390715,1.7214,3.4488,10.4842,1391,2772.77
390720,0.1975,1.6161,11.3581,1405,2772.77
390725,-2.9185,-0.2167,11.9124,1397,2772.77
390730,-2.8371,1.4904,9.9994,1407,2772.77
390735,1.306,2.9497,10.398,1398,2772.64
390740,2.1955,2.6109,10.89,1407,2772.64
390745,-2.9054,-0.5148,11.9076,1397,2772.64
390750,-3.7158,0.6512,10.7224,1399,2772.64
390755,0.516,2.8395,10.1478,1403,2772.52
390760,2.0842,3.4381,10.4902,1401,2772.52
390765,-2.7258,0.6788,11.6825,1395,5273.33
390770,-3.6655,-0.3077,11.303,1399,5273.33
390775,-1.0894,2.3798,9.839,1401,5846.81
390780,1.7633,3.4273,10.4579,1393,5846.81
390785,-0.0168,1.4605,11.3557,1405,5846.81
390790,-3.1663,-1.1456,11.7938,1395,5846.81
390795,-2.7605,1.5071,10.0233,1415,5846.81
390800,1.3156,2.9137,10.4232,1397,2772.77
390805,2.1344,2.6013,10.8852,1405,2772.77
390810,-2.9281,-0.4369,11.9387,1395,2772.77
390815,-3.6739,0.7733,10.6793,1402,2772.77
390820,0.595,2.8659,10.0652,1403,2773.03
390825,2.1715,3.4524,10.5046,1401,2773.03
390830,-2.7773,0.5279,11.7328,1397,2773.03
390835,-3.6859,-0.3448,11.2695,1395,2773.03
390840,-0.9206,2.3308,9.7803,1403,2772.9
390845,1.7226,3.401,10.4866,1391,2772.9
390850,-0.2418,1.4353,11.3605,1413,2772.9
390855,-3.2046,-1.0546,11.71,1397,2772.9
390860,-2.6911,1.6245,9.9874,1415,2772.9
390865,1.3515,3.0406,10.4471,1399,2772.64
390870,2.1392,2.5965,10.896,1400,2772.64
390875,-2.9317,0.1305,11.8645,1398,5273.33
390880,-3.6284,0.7925,10.6494,1401,5273.33
390885,0.6488,2.8287,10.2005,1401,5845.67
390890,2.1117,3.3184,10.489,1397,5845.67
390895,-2.8671,0.4561,11.7843,1395,5845.67
390900,-3.7373,-0.2885,11.2946,1399,5845.67
390905,-0.8547,2.4493,9.8761,1413,2771.87
390910,1.7514,3.4656,10.4555,1394,2771.87
390915,-0.4693,1.4066,11.382,1406,2771.87
390920,-2.8108,-0.3603,11.9435,1401,5271.94
390925,-2.6588,1.737,10.0149,1407,5271.94
390930,1.4557,3.0933,10.4267,1399,5845.1
390935,2.1045,2.4553,10.8924,1399,5845.1
390940,-2.8862,-0.6357,11.91,1395,5845.1
390945,-3.5997,0.7673,10.5441,1400,5845.1
390950,0.6871,2.7928,10.1766,1395,2771.75
390955,2.0782,3.322,10.5596,1399,2771.75
390960,-2.9113,0.4681,11.8226,1399,2771.75
390965,-3.8235,-0.1472,11.2863,1401,2771.75
390970,-0.7829,2.4948,9.8462,1403,2771.87
390975,1.8962,3.5494,10.4519,1398,2771.87
390980,-0.6045,1.3491,11.3928,1414,2771.87
390985,-3.1675,-1.0678,11.6167,1399,2771.87
390990,-2.6049,1.6388,9.9288,1414,2771.87
390995,1.4377,3.0155,10.4495,1395,2772.39
391000,2.0494,2.3846,11.0241,1398,2772.39
391005,-2.9042,-0.6728,11.9459,1397,2772.39
391010,-3.5925,0.8739,10.55,1399,2772.39
391015,0.8104,2.8886,10.1586,1395,2772.9
391020,2.1883,3.3327,10.4675,1397,2772.9
391025,-2.9664,0.4298,11.7735,1399,2772.9
391030,-3.7158,-0.1018,11.151,1400,2772.9
391035,-0.6584,2.4936,9.8509,1399,2773.16
391040,1.8136,3.4872,10.4567,1399,2773.16
391045,-0.7697,1.233,11.467,1413,2773.16
391050,-3.2908,-1.1109,11.5867,1397,2773.16
391055,-2.4337,1.725,9.9084,1415,2773.16
391060,1.3946,3.0933,10.4112,1397,2774.69
391065,1.8974,2.4122,11.0899,1399,2774.69
391070,-2.891,-0.6919,11.9985,1388,2774.69
391075,-3.559,0.9673,10.489,1400,2774.69
391080,0.8894,2.8635,10.2137,1399,2774.69
391085,2.2649,3.2453,10.5381,1399,2774.69
391090,-2.8994,0.3424,11.795,1390,2774.69
391095,-3.784,-0.1018,11.1642,1401,2774.69
391100,-0.5327,2.5019,9.815,1401,2774.82
391105,1.7681,3.4895,10.4902,1402,2774.82
391110,-1.1073,1.2091,11.4718,1401,2774.82
391115,-3.3603,-1.0092,11.6646,1397,2774.82
391120,-2.2924,1.8507,9.8881,1407,2774.82
391125,1.5107,3.1939,10.5213,1390,2774.95
391130,1.816,2.2984,11.0804,1397,2774.95
391135,-2.8515,-0.7278,11.8728,1391,2774.95
391140,-3.4716,0.9876,10.3633,1399,2774.95
391145,0.9421,2.8898,10.2604,1407,2774.82
391150,2.1967,3.1184,10.6255,1403,2774.82
391155,-2.9341,0.2705,11.825,1401,2774.82
391160,-3.9301,-0.0048,11.0744,1403,2774.82
391165,-0.3651,2.5953,9.9084,1402,2775.08
391170,2.0099,3.5973,10.5093,1403,2775.08
391175,-1.4006,1.1504,11.4886,1407,2775.08
391180,-3.0682,-0.0491,11.9016,1392,5276.58
391185,-3.0119,1.3707,10.0987,1399,5276.58
391190,1.5251,3.1663,10.4998,1395,5852.52
391195,2.2051,2.7509,10.8338,1398,5852.52
391200,-2.9568,-0.3124,11.9519,1399,5852.52
391205,-3.8211,0.5219,10.799,1401,5852.52
391210,0.328,2.8299,10.0952,1407,2775.21
391215,2.0566,3.5135,10.4974,1403,2775.21
391220,-2.5774,0.7697,11.6909,1401,5277.51
391225,-3.6129,-0.4788,11.4311,1399,5277.51
391230,-1.2522,2.2541,9.754,1400,5854.23
391235,1.6867,3.3363,10.4986,1403,5854.23
391240,0.346,1.561,11.2204,1399,5854.23
391245,-3.0777,-1.1756,11.7974,1397,5854.23
391250,-2.9269,1.4138,10.009,1399,5854.23
391255,1.2965,2.97,10.4279,1397,2775.72
391260,2.1967,2.7378,10.8577,1401,2775.72
391265,-2.9413,-0.3053,11.9686,1401,2775.72
391270,-3.6955,0.6297,10.6506,1401,2775.72
391275,0.5088,2.8323,10.0293,1408,2776.11
391280,2.156,3.4273,10.4591,1401,2776.11
391285,-2.6516,0.65,11.7855,1401,2776.11
391290,-3.6787,-0.4489,11.2839,1399,2776.11
