timestamp_ms,ax,ay,az,acs_adc,rpm
11749,-0.5183,1.5455,11.5616,1446,2854.29
11754,-2.636,-1.4222,12.3014,1455,2854.29
11759,-3.4046,1.7753,9.4116,1483,2854.42
11764,1.585,3.5063,10.1394,1449,2854.42
11769,1.2881,2.3667,11.1606,1455,2854.42
11774,-1.8124,-1.2857,12.3996,1449,2854.42
11779,-4.3179,1.1456,9.9838,1461,2854.42
11784,1.1157,3.1699,9.8138,1459,2854.7
11789,2.3056,3.0909,10.8888,1447,2854.7
11794,-1.3671,-0.6093,12.3984,1445,2854.7
11799,-4.5083,0.3412,10.7344,1454,2854.7
11804,0.2646,2.7833,9.4475,1466,2854.56
11809,2.3272,3.6787,10.5441,1449,2854.56
11814,-1.6017,0.2143,12.2188,1449,2854.56
11819,-4.3179,-0.4417,11.4479,1459,2854.56
11824,-0.8116,2.6109,9.2392,1467,2854.83
11829,2.0566,3.9947,10.4519,1451,2854.83
11834,-1.5862,1.0343,11.9016,1453,2854.83
11839,-3.547,-1.0068,11.9758,1451,2854.83
11844,-2.1632,2.2362,9.1195,1479,2854.7
11849,1.9632,3.8271,10.3094,1455,2854.7
11854,-0.4405,1.6652,11.4754,1452,2854.7
11859,-2.4828,-1.476,12.2655,1459,2854.7
11864,-3.4584,1.6843,9.4727,1487,2854.97
11869,1.5778,3.4165,10.0975,1447,2854.97
11874,1.3539,2.3308,11.1354,1452,2854.97
11879,-1.7418,-1.3934,12.4451,1449,2854.97
11884,-4.3431,1.0451,10.0461,1459,2854.97
11889,1.0403,3.1244,9.8114,1465,2855.24
11894,2.247,3.1603,10.8685,1449,2855.24
11899,-1.4222,-0.5291,12.4235,1449,2855.24
11904,-4.5442,0.3675,10.8278,1451,2855.24
11909,0.2562,2.8683,9.414,1481,2855.38
11914,2.3212,3.7326,10.5369,1447,2855.38
11919,-1.634,0.3017,12.1661,1449,2855.38
11924,-4.1731,-0.4405,11.4491,1459,2855.38
11929,-0.9062,2.5546,9.153,1481,2855.92
11934,2.0758,3.8786,10.3848,1447,2855.92
11939,-1.5,0.9924,11.8501,1451,2855.92
11944,-3.4919,-1.1779,11.9866,1453,2855.92
11949,-2.2446,2.1548,9.1506,1480,2856.46
11954,1.9154,3.7194,10.3118,1453,2856.46
11959,-0.3867,1.6065,11.4862,1449,2856.46
11964,-2.5798,-1.4533,12.3361,1459,2856.46
11969,-3.5805,1.6951,9.4727,1471,2856.46
11974,1.5646,3.4955,10.0868,1449,2856.46
11979,1.3815,2.4157,11.1582,1449,2856.46
11984,-1.7346,-1.2079,12.4941,1447,2856.46
11989,-4.3299,1.1037,10.0832,1463,2856.46
11994,1.0989,3.1256,9.7504,1463,2856.73
11999,2.375,3.1591,10.7799,1449,2856.73
12004,-1.3838,-0.5495,12.4115,1451,2856.73
12009,-4.5095,0.2526,10.7344,1453,2856.73
