,segment,ax_mean,ax_std,ax_rms,ax_peak,ax_p2p,ax_crest,ay_mean,ay_std,ay_rms,ay_peak,ay_p2p,ay_crest,az_mean,az_std,az_rms,az_peak,az_p2p,az_crest,acc_mag_rms,acc_mag_std,acc_mag_peak,acc_mag_p2p,acs_mean,acs_std,acs_rms,acs_min,acs_max,acs_p2p,rpm_mean,rpm_median,rpm_std,rpm_min,rpm_max,rpm_p2p,rpm_cv_percent,rpm_slope_rpm_per_s,dominant_frequency_Hz,dominant_amplitude,spectral_energy,spectral_centroid_Hz
segment,1.0,0.07879554533071223,0.04165456706059639,0.04165456706059639,0.09312568661117784,0.09097011268413631,-0.03985317907789811,0.01965334529438246,0.13925336315690146,0.13925336315690146,0.12330399539997727,0.11714092669513959,0.10510795274328333,0.054163081913265396,0.15309773821494224,0.15309773821494224,0.16886494314215536,0.1719516234372757,0.07414027169240262,0.16364294202377155,0.018904453661125867,0.15234884658168565,0.006051854009289758,0.023519246453239256,-0.018155562088858424,0.023478764718314782,0.021081055976471502,0.01957300072211136,-0.04786972955729457,0.1372090914012551,0.006901954054309681,0.17734563488092595,-0.05849457506807384,0.2127866369991392,0.19085668204151068,0.17238675784990257,0.02827571923403944,-0.007247929361156587,0.04485253673774617,0.09081829076817105,-0.06804793705428819
ax_mean,0.07879554533071223,1.0,-0.031977963507434,-0.031977963507434,0.003155945418206204,-0.02203426003990388,0.06908408385594736,0.0842148366278956,0.15957745392603986,0.15957745392603986,0.15032872166742445,0.1581361928290363,0.14058603123408356,-0.14944484964515525,0.08196124063613353,0.08196124063613353,0.07071672170866262,0.0726027416081315,-0.07079348738566288,0.031127353314193005,0.012684275122475639,0.02165402131970163,0.08814367925265787,-0.21181936917106606,-0.21690066861991178,-0.21183182204238005,-0.2085631715252202,-0.21826497570529355,-0.1680855914347188,0.08148477073877826,0.06637631864802118,-0.06233313849546994,0.053290123645418845,0.05842534594485163,-0.049756633146141774,-0.06602012825478015,-0.009854782027518388,0.04136438334948623,0.03293631170140807,0.0689107329021612,0.08088256395668118
ax_std,0.04165456706059639,-0.031977963507434,1.0,1.0,0.9120079791154364,0.920468089054029,-0.40355198396071706,0.04057925258530214,0.479227312961365,0.479227312961365,0.42648315303141376,0.28591653987274224,0.23721261614386058,0.30554581455825175,0.7978457156919173,0.7978457156919173,0.670331223264872,0.6879695129623551,-0.39088747490267634,0.9342611432036336,0.20655802462526782,0.7538017283819433,-0.11012083882134682,-0.3653571605868076,-0.23675348080120912,-0.3652911407787896,-0.365598255699861,-0.3295325278536203,-0.21137349637127656,0.892567679766656,0.8984167628054175,-0.0721303752870046,0.8764100241741211,0.7687617419489924,-0.06890705837924957,-0.1366187967576264,-0.10884699621272313,0.8109643526812249,0.4417181767978681,0.33210611717223576,0.4161097762330942
ax_rms,0.04165456706059639,-0.031977963507434,1.0,1.0,0.9120079791154364,0.920468089054029,-0.40355198396071706,0.04057925258530214,0.479227312961365,0.479227312961365,0.42648315303141376,0.28591653987274224,0.23721261614386058,0.30554581455825175,0.7978457156919173,0.7978457156919173,0.670331223264872,0.6879695129623551,-0.39088747490267634,0.9342611432036336,0.20655802462526782,0.7538017283819433,-0.11012083882134682,-0.3653571605868076,-0.23675348080120912,-0.3652911407787896,-0.365598255699861,-0.3295325278536203,-0.21137349637127656,0.892567679766656,0.8984167628054175,-0.0721303752870046,0.8764100241741211,0.7687617419489924,-0.06890705837924957,-0.1366187967576264,-0.10884699621272313,0.8109643526812249,0.4417181767978681,0.33210611717223576,0.4161097762330942
ax_peak,0.09312568661117784,0.003155945418206204,0.9120079791154364,0.9120079791154364,1.0,0.9956156752291974,-0.13362738094191928,0.06340410798083268,0.5640694821677488,0.5640694821677488,0.5428228312433532,0.4220554975092601,0.32519164343339313,0.1881767857900189,0.8749383408901771,0.8749383408901771,0.7847221712735344,0.795160168461535,-0.34009935491302073,0.9365630116396007,0.2766159147863107,0.8198849087281243,-0.038749439978741564,-0.3206178660314204,-0.1766289116620865,-0.3206014376371533,-0.322868611138796,-0.286677286708894,-0.1499486975347725,0.8629120229345149,0.8361647299650037,-0.03620346126259959,0.8018157595494007,0.7850424841266872,-0.038130423168818525,-0.09842359340168313,-0.07808130744106236,0.746914819329716,0.41006315908398355,0.37009296614911846,0.33895746380719427
ax_p2p,0.09097011268413631,-0.02203426003990388,0.920468089054029,0.920468089054029,0.9956156752291974,1.0,-0.15727490446077966,0.08210777414079654,0.53846219842593,0.53846219842593,0.520791926597982,0.39513822056461895,0.321752071511395,0.19861567725765467,0.8585185718286689,0.8585185718286689,0.7728151923672103,0.7839213824298471,-0.3308194864623852,0.9336473394580738,0.26347126371110713,0.8164906251393439,-0.05274833674557606,-0.29148566916612445,-0.14914971397137583,-0.29146235566592615,-0.2944898634940133,-0.25775592332160596,-0.1270334092700042,0.8560214898790014,0.8285911026911634,-0.02560542305206208,0.7927408274218946,0.775707637147461,-0.027107214705977985,-0.08771118593978434,-0.08208782016688806,0.7357208258497134,0.4009129863499055,0.3536580323694118,0.3274761477451964
ax_crest,-0.03985317907789811,0.06908408385594736,-0.40355198396071706,-0.40355198396071706,-0.13362738094191928,-0.15727490446077966,1.0,0.03560927638951449,0.14860888851659396,0.14860888851659396,0.16885958777221816,0.2316207580275054,0.055010742760384056,-0.4266169093937764,-0.025120018760225064,-0.025120018760225064,0.05091629569079447,0.007168098775205085,0.16969711701553328,-0.24992610312732855,-0.028270340733985207,-0.12069386281198434,0.03324894349441602,0.23678564592249005,0.27214457375292384,0.2366534481359781,0.23283719029204097,0.22125215861199,0.2969169665094372,-0.23837274128118352,-0.27122881332701165,0.04665537742281838,-0.2668060534770728,-0.13022619170606303,0.039768280025518576,0.07266972369543433,0.09295635353338848,-0.3101281170632692,-0.23333462597432816,-0.13725221771911963,-0.2795190494030995
ay_mean,0.01965334529438246,0.0842148366278956,0.04057925258530214,0.04057925258530214,0.06340410798083268,0.08210777414079654,0.03560927638951449,1.0,-0.42082724401334554,-0.42082724401334554,-0.2717813702806141,-0.36878880395597224,0.09301206340412142,0.047331622633142986,-0.05736177724001046,-0.05736177724001046,-0.050100735969584614,-0.05628129045046738,0.1015841678190924,-0.04515786223623506,-0.38633305188158407,-0.04717934044726615,-0.3996757809143895,0.5077519596764257,0.4268634220345177,0.5077386734617122,0.5064570984299035,0.5020089025598585,0.39084903920592806,-0.14026128977461044,-0.13355067370872575,0.09968058599151786,-0.12589298902380655,-0.11103807936044367,0.09410045346977129,0.11138612205041026,0.008023471028085757,-0.11945599498076825,-0.22272866785605763,-0.3544953310532866,-0.1858588515043318
ay_std,0.13925336315690146,0.15957745392603986,0.479227312961365,0.479227312961365,0.5640694821677488,0.53846219842593,0.14860888851659396,-0.42082724401334554,1.0,1.0,0.9016010903977709,0.9038917854797166,0.3743360266220622,-0.16767576814595622,0.7858075865986829,0.7858075865986829,0.6819930621458523,0.6822512282376174,-0.45752974263464047,0.6618398753195356,0.27529633257325503,0.5493325820428624,0.05865647409836342,-0.46988397948578703,-0.3506278901196162,-0.4698812767025432,-0.4649250783496214,-0.45031225592560953,-0.3113739145643345,0.7363938181016554,0.6952806964139204,-0.1100197655826461,0.6850470459042648,0.6379078797004137,-0.10619837065342635,-0.16171499168745843,-0.05457538342325251,0.5922232048383639,0.344622053137972,0.3502107905101662,0.38985169591676744
ay_rms,0.13925336315690146,0.15957745392603986,0.479227312961365,0.479227312961365,0.5640694821677488,0.53846219842593,0.14860888851659396,-0.42082724401334554,1.0,1.0,0.9016010903977709,0.9038917854797166,0.3743360266220622,-0.16767576814595622,0.7858075865986829,0.7858075865986829,0.6819930621458523,0.6822512282376174,-0.45752974263464047,0.6618398753195356,0.27529633257325503,0.5493325820428624,0.05865647409836342,-0.46988397948578703,-0.3506278901196162,-0.4698812767025432,-0.4649250783496214,-0.45031225592560953,-0.3113739145643345,0.7363938181016554,0.6952806964139204,-0.1100197655826461,0.6850470459042648,0.6379078797004137,-0.10619837065342635,-0.16171499168745843,-0.05457538342325251,0.5922232048383639,0.344622053137972,0.3502107905101662,0.38985169591676744
