,rpm_mean,rpm_mean,rpm_mean,rpm_mean,rpm_mean,rpm_std,rpm_std,rpm_std,rpm_std,rpm_std,rpm_cv_percent,rpm_cv_percent,rpm_cv_percent,rpm_cv_percent,rpm_cv_percent,acc_mag_rms,acc_mag_rms,acc_mag_rms,acc_mag_rms,acc_mag_rms,acc_mag_peak,acc_mag_peak,acc_mag_peak,acc_mag_peak,acc_mag_peak,acc_mag_p2p,acc_mag_p2p,acc_mag_p2p,acc_mag_p2p,acc_mag_p2p,acs_mean,acs_mean,acs_mean,acs_mean,acs_mean,acs_std,acs_std,acs_std,acs_std,acs_std,acs_p2p,acs_p2p,acs_p2p,acs_p2p,acs_p2p,dominant_frequency_Hz,dominant_frequency_Hz,dominant_frequency_Hz,dominant_frequency_Hz,dominant_frequency_Hz,spectral_energy,spectral_energy,spectral_energy,spectral_energy,spectral_energy,spectral_centroid_Hz,spectral_centroid_Hz,spectral_centroid_Hz,spectral_centroid_Hz,spectral_centroid_Hz
,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max
load_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,3059.58635,3060.9814903971355,4.059625071955546,3054.3592499999995,3067.77035,0.826115002379654,0.9718188605177897,0.4728174634305638,0.4096415018036833,2.356386723354205,0.026994020630156802,0.03175111369016899,0.015453757112821806,0.0133986559069946,0.0770051432808698,4.69889276798412,4.69857485513795,0.3179941295299145,4.300535227668819,5.797782029947768,5.90145585260328,6.635060873988054,4.507964022596563,5.608395316842376,41.5938248409324,2.872661468195864,3.652733944569226,4.438102289724201,2.6644447080016818,38.12441318928817,1368.6275,1344.691875,84.36901385467013,1206.745,1435.51,6.337011926445028,7.911563325879684,7.793659365657869,3.1635067567495407,52.913513396863,38.0,54.90625,95.23583405053785,18.0,774.0,98.0,98.0,0.0,98.0,98.0,5651.382550349192,6218.12100209828,1608.1084214457246,4746.870626897575,15435.552787609604,67.64573901958421,67.08900364036909,2.7390767817167636,53.05158188897381,69.49347796786532
0.2,3032.401675,3030.520328184886,6.532831170398387,3017.356,3052.786030927835,0.8184172571518106,3.800569292453227,19.933152050806683,0.3408071448780843,160.68361952202866,0.026992456648177003,0.12475564202491812,0.652958862226344,0.0112430826183338,5.26350742875982,4.3585380988685305,4.429665254938389,0.28005099696265306,4.06605239867903,5.289563750223405,5.460880880330196,6.420132435214304,3.6897760952892567,5.306512361475897,33.14450713995341,2.7159271308023367,3.6885840999279518,3.576856870462054,2.500091998689405,29.74530226793959,1353.2649999999999,1342.113787878788,83.20897339766167,1229.66,1438.325,4.73199752361737,6.428797982384331,5.863289545470602,2.8035691537752374,50.109573686073205,36.0,44.65151515151515,85.01882007473267,16.0,721.0,99.0,99.15151515151516,0.36129784186475616,99.0,100.0,5876.9347111808165,6176.899079096616,1707.8684073200543,2704.643142922627,12398.811457135696,69.64803326951079,68.76605436038015,4.100997030523451,54.50725703512679,74.43077058839405
0.3,3002.5893999999994,3003.4009099389873,9.083251207404643,2986.68855,3036.820625,1.0309093073592774,13.153945593035086,44.48457256094166,0.4050999876573679,234.23872458348072,0.0343719615933481,0.43500457246004903,1.4686651418300674,0.013480990427111,7.713288122951968,4.112385211713362,4.1878293734176255,0.30187617723725735,3.692510852578297,5.078702891608102,5.120225950594221,6.92840151893793,6.944936468079999,4.917133232717159,41.964963974664286,2.6058860297144046,4.296381995879771,6.905403207011681,1.442016991149624,39.27277933973088,1377.045,1351.5362698412698,81.71404124794704,1245.645,1442.27,5.438269485783138,6.676541663344315,5.2368340046353765,3.6313599380948185,43.88894365327104,30.0,35.095238095238095,17.83953048502867,18.0,130.0,100.0,95.96825396825396,13.549155733688728,50.0,100.0,7397.042585125882,8901.600032450484,9547.284417876632,885.0315262208997,65359.30587724632,76.97214028116669,74.18079770076125,9.189059248636028,50.68929273324029,85.89589880623068
0.4,2971.2556500000005,2971.3158063492065,7.15498852807558,2956.30275,2983.39195,0.8998346945412294,1.0090808263047237,0.4852219140964298,0.3245427206084916,2.79504632519752,0.0303304516371982,0.033971019418142005,0.016359315569779712,0.010925358956705,0.0942586324030083,3.8137003445300666,3.898569199325198,0.23739126448866407,3.6223050000673256,4.8619496159313496,4.810268963306859,5.934861836859724,4.9447105963689975,4.723139327993326,42.26213812432998,2.813059809821844,3.8799692612039793,4.941568959958337,2.5306091709941527,40.46759400479851,1447.14,1391.7316666666668,90.44172619035027,1256.375,1471.4,9.36545647579444,12.69157555633193,12.902833708873874,3.411125180933705,73.3816734614304,48.0,96.55555555555556,191.5489306457784,18.0,1027.0,99.0,99.28571428571429,0.4553825555391844,99.0,100.0,5793.484339081853,6599.3426033509,2526.4586124913844,3021.3651650916377,14219.981710744492,70.21782009288368,69.39166142150304,4.9717584968221695,53.24726283417162,77.07968776663994
0.5,2938.7694000000006,2941.7990814538866,10.568741317110785,2928.0165445026178,2960.8518,0.8456022942258689,6.546356312285687,25.277556860679756,0.2946142562742101,121.44952302105088,0.02865557121032,0.22226552051125315,0.8580088789206839,0.0100475457234725,4.117304595695692,3.582317359976151,3.666683155209463,0.23050824758949914,3.4252768711684096,4.803171958814014,4.567891239773256,6.216451479922228,6.831387716781658,4.471235855406479,40.37688289392722,2.90095540201667,4.53542890867235,6.841537661075861,2.6367985618380425,38.16621649319808,1455.89,1410.263076923077,78.9825391982121,1271.3,1480.96,10.402690757683802,14.732551677409615,14.657544116485282,4.689125718084342,72.7189794689117,50.0,109.46153846153847,221.81207395866926,22.0,1022.0,98.0,98.21538461538462,0.4504271476994002,98.0,100.0,5183.539257558889,5979.231215997941,4697.3870908366025,4731.311373017284,42504.50375974014,68.31297188173332,67.68063978358697,3.34491849326206,52.85170723218215,73.00208763366892
0.6,2911.03665,2913.6657592307693,6.557962458595549,2903.61995,2925.2856000000006,0.8272552870789484,1.0080883067425352,0.5795607358040058,0.3741523219225439,3.086386145235223,0.0283053727677929,0.03460747313449075,0.01991293944141593,0.0128060905999033,0.1060869078628018,3.404504925542553,3.4725416898634713,0.23080857021039247,3.2551415105800703,4.446238615053262,4.3364114653513335,6.206413266791058,6.726117343948877,4.247983786704376,37.91003304466033,2.960090034921293,4.83866401464396,6.730058068001197,2.7575117539192835,36.62844464566536,1460.305,1417.528076923077,81.03518794274407,1264.175,1494.87,11.028235352947451,13.556200362492344,11.646944333424944,4.099240783364647,78.4287772440703,50.0,81.47692307692307,157.07055616946357,20.0,1099.0,97.0,97.04615384615384,0.21145103088313177,97.0,98.0,5255.523965075064,5986.77965904155,3777.5371160344944,4903.609201685639,35684.08642324221,67.89065291645615,67.29609613874106,2.789450911225811,53.72814858953532,70.59540409471518
0.7,2882.77535,2887.9829946153845,27.698636113410608,2872.3287,3101.2090500000004,0.7055670343772763,1.277203353019715,4.190296175605437,0.2756249444444738,34.46710698764112,0.0245162176094318,0.04421431524992971,0.14481927364926722,0.0095179561936853,1.1912468113938557,3.253995898572707,3.296520742608122,0.2666095788035615,3.081962594886333,5.082157773821568,4.1365061972516735,5.057737323413162,3.875430185953216,4.048915453381003,33.11607318653714,3.03552122335818,3.9345762048650337,3.8671732748548453,2.818714530714164,32.15001408560995,1450.09,1417.2511538461538,78.08513988534206,1266.195,1495.23,7.859667613837114,12.187820192762718,9.466835125417397,3.895738055875934,46.03297703820599,42.0,78.8923076923077,123.61509352079075,20.0,658.0,96.0,96.13846153846154,0.348071610669187,96.0,97.0,5458.78531472928,6190.8871288927685,2765.7893148132184,5120.373207693433,26116.45550820523,67.56071204783208,66.76828673091211,3.24799280895379,52.234907909997055,70.34844673700691
0.8,2857.3244,2856.608386923077,6.678757355099988,2841.4144499999998,2868.6188499999994,0.7106847120910369,0.9336976476005572,0.5250915593336033,0.4053077811984209,3.090255044490706,0.0249181477893946,0.032700056784507464,0.018424560174713736,0.0141587858023962,0.1081945398719189,3.099391824597085,3.0920913239025016,0.11793971114233279,2.9499070493531234,3.759907269356853,4.022818379273946,4.879573496466509,4.050717244017534,3.851971034233448,33.09582561952697,3.1272660711783127,4.024157290406042,4.073835192526779,2.781187553619782,32.369657508386375,1459.675,1415.0685384615385,94.40039032925064,1268.605,1509.87,9.638432185786234,14.914992356677718,13.476744100959587,3.975864685826216,81.05444528216823,48.0,108.1076923076923,197.1705419076436,22.0,1133.0,95.0,95.0923076923077,0.29171245061902557,95.0,96.0,5445.343857080581,6393.933592590582,4372.250078599757,4491.666057360524,36982.96749331522,67.2660932759545,66.30104691054154,3.3008790230883824,51.96112869536,70.30908508456675
