feature_1,feature_2,spearman_r
ax_std,ax_rms,1.0
ay_std,ay_rms,1.0
az_std,az_rms,1.0
acs_mean,acs_rms,0.9999905604954111
rpm_std,rpm_cv_percent,0.9960410383685677
ax_peak,ax_p2p,0.9956156752291974
acs_mean,acs_min,0.995358507670993
acs_rms,acs_min,0.9953119906030532
az_peak,az_p2p,0.9932850445386298
acs_rms,acs_max,0.9796013653256657
acs_mean,acs_max,0.9791945458512042
acs_min,acs_max,0.9713313088561467
rpm_median,rpm_min,0.9705418852937
ay_peak,ay_p2p,0.9678093466740555
rpm_mean,rpm_median,0.9603745045356085
rpm_std,rpm_p2p,0.9596094429459666
rpm_p2p,rpm_cv_percent,0.956313734885135
az_p2p,acc_mag_peak,0.9534627386354294
