feature,fault_id,healthy_median,fault_median,robust_effect,abs_robust_effect
ax_crest,F1,1.5798607830966114,1.3849578223443098,-10.670647993371475,10.670647993371475
az_mean,F1,10.812233499999998,10.8562025,4.019104204752863,4.019104204752863
ay_p2p,F1,5.5821000000000005,5.0578,-2.687339825730383,2.687339825730383
spectral_centroid_Hz,F1,67.74798235906188,64.06490304804257,-2.269688750105518,2.269688750105518
ay_std,F1,1.8046964936808627,1.6423465791299197,-2.0501777898951365,2.0501777898951365
ay_rms,F1,1.8046964936808627,1.6423465791299197,-2.0501777898951365,2.0501777898951365
ay_peak,F1,3.1911555,2.8942105,-1.8649336946657438,1.8649336946657438
dominant_frequency_Hz,F1,97.0,94.0,-1.5,1.5
acc_mag_p2p,F1,2.974917414660128,3.36670498884978,1.479056478878386,1.479056478878386
az_crest,F1,1.5943036926464842,1.6838629354457315,1.4067084366425513,1.4067084366425513
ax_crest,F2,1.5798607830966114,1.3692338871769332,-11.531510119806303,11.531510119806303
az_mean,F2,10.812233499999998,10.88390375,6.551211151736042,6.551211151736042
spectral_energy,F2,5377.151765203438,7275.296089407987,2.75825811780269,2.75825811780269
acc_mag_p2p,F2,2.974917414660128,3.6932070685712572,2.7116504869404023,2.7116504869404023
dominant_amplitude,F2,51.24126726776498,58.624116142177854,2.688245228327462,2.688245228327462
acc_mag_std,F2,0.8400849782881068,0.9849807035521618,2.6363042450448875,2.6363042450448875
rpm_cv_percent,F2,0.028725944249811,0.0457267188442344,1.8762272124373682,1.8762272124373682
rpm_std,F2,0.8390491269884461,1.2933212846598323,1.7188041413216557,1.7188041413216557
rpm_p2p,F2,3.269999999999982,4.75,1.7011494252867014,1.7011494252867014
ay_p2p,F2,5.5821000000000005,5.2954,-1.469502819067141,1.469502819067141
ax_crest,F3,1.5798607830966114,1.4457307695092956,-7.343419283175144,7.343419283175144
dominant_amplitude,F3,51.24126726776498,69.42463481916809,6.620933448115738,6.620933448115738
spectral_centroid_Hz,F3,67.74798235906188,75.38924177836273,4.7089077035990075,4.7089077035990075
spectral_energy,F3,5377.151765203438,8337.823643951984,4.302253068733617,4.302253068733617
ay_crest,F3,1.7657091881655558,1.6462080826185992,-4.195108171219438,4.195108171219438
ay_p2p,F3,5.5821000000000005,4.988300000000001,-3.0435674013326346,3.0435674013326346
acc_mag_std,F3,0.8400849782881068,0.9921153975316096,2.7661163840216365,2.7661163840216365
az_mean,F3,10.812233499999998,10.841748,2.6978519195611463,2.6978519195611463
ax_std,F3,2.570335263824352,3.663610558871672,2.437306674999797,2.437306674999797
ax_rms,F3,2.570335263824352,3.663610558871672,2.437306674999797,2.437306674999797
rpm_p2p,F4,3.269999999999982,1256.825,1440.8678160913817,1440.8678160913817
rpm_cv_percent,F4,0.028725944249811,7.833458615871658,861.3402726425927,861.3402726425927
rpm_std,F4,0.8390491269884461,188.70391031498963,710.8137621155679,710.8137621155679
ax_crest,F4,1.5798607830966114,1.833962265004284,13.911679214954178,13.911679214954178
az_crest,F4,1.5943036926464842,2.1133012586728706,8.151902940523778,8.151902940523778
spectral_centroid_Hz,F4,67.74798235906188,55.16705417348615,-7.752966677435997,7.752966677435997
rpm_min,F4,2908.67,2279.545,-7.690074563011862,7.690074563011862
rpm_max,F4,2913.75,3268.1099999999997,4.247393024092058,4.247393024092058
ay_p2p,F4,5.5821000000000005,4.7956,-4.031266017426942,4.031266017426942
ay_std,F4,1.8046964936808627,1.5031011620648602,-3.8085887025284864,3.8085887025284864
