timestamp_ms,ax,ay,az,acs_adc,rpm
910,-2.3499,2.1955,10.5034,1577,1693.58
16915,0.5255,2.4756,10.3633,1577,1693.58
16920,-0.4693,2.569,10.4698,1583,1693.58
16925,-1.0989,1.5538,11.1438,1595,1693.58
16930,-0.3723,0.2957,11.1534,1487,1693.58
16935,-1.67,0.0826,11.0947,1486,1693.58
16940,-1.3683,1.336,10.8074,1491,1693.53
16945,-2.1727,2.2087,10.5381,1497,1693.53
16950,0.2059,2.3499,10.3645,1502,1693.53
16955,-0.0958,2.7665,10.6386,1509,1693.53
16960,-1.1612,1.5694,10.8541,1591,1693.53
16965,-0.3519,0.4968,11.2887,1604,1693.53
16970,-1.5993,-0.0323,11.0409,1576,1693.53
16975,-1.4186,1.3575,11.0468,1579,1693.67
16980,-2.0027,2.0949,10.4459,1586,1693.67
16985,-0.1221,2.3882,10.4435,1581,1693.67
16990,0.2646,2.8814,10.5632,1593,1693.67
16995,-1.1768,1.6352,10.7823,1581,1693.67
17000,-0.2861,0.5986,11.3437,1606,1693.67
17005,-1.4653,-0.091,10.9942,1583,1693.67
17010,-1.5239,1.3431,11.1917,1583,1693.91
17015,-1.8663,1.9118,10.3346,1583,1693.91
17020,-0.4393,2.4983,10.5716,1587,1693.91
17025,0.5926,2.8036,10.3525,1623,1693.91
17030,-1.2462,1.8818,10.9427,1579,1693.91
17035,-0.3292,0.6536,11.1869,1603,1693.91
17047,0.0,-29.9981,0.1556,1589,1693.53
17050,-1.6364,1.8375,10.386,1593,1693.53
17055,-0.7159,2.4924,10.5225,1606,1693.53
17060,0.9313,2.7797,10.3346,1599,1693.53
17065,-1.336,2.1344,10.9164,1580,1693.53
17070,-0.3831,0.6788,11.0768,1593,1693.53
17075,-1.3707,0.1018,11.3701,1581,1693.53
17080,-1.5718,0.8978,10.981,1589,1693.19
17085,-1.3958,1.8387,10.6482,1591,1693.19
17090,-1.1073,2.3774,10.3214,1599,1693.19
17095,1.172,2.958,10.4651,1591,1693.19
17100,-1.336,2.2482,10.8062,1597,1693.19
17105,-0.3723,0.7985,11.0696,1605,1693.19
17110,-1.3084,0.1664,11.4622,1589,1693.19
17115,-1.5838,0.6117,10.8194,1592,1693.34
17120,-1.2689,1.8938,10.8733,1589,1693.34
17125,-1.4688,2.2314,10.1107,1587,1693.34
17130,1.3408,3.1065,10.7368,1574,1693.34
17135,-1.4557,2.1428,10.5153,1583,1693.34
17140,-0.4561,1.0008,11.303,1605,1693.34
17145,-1.1516,0.1173,11.3521,1587,1693.34
17150,-1.5814,0.504,10.8242,1507,1692.91
