timestamp_ms,ax,ay,az,acs_adc
28636,-1.0798,1.8507,10.3872,1487
1,-1.148,1.4641,11.0887,1485
28646,-0.7195,1.1983,11.2168,1471
28651,-0.6644,1.6556,10.5381,1485
28656,-1.0654,1.9345,10.5201,1491
28661,-1.0211,1.3982,11.2073,1495
28666,-0.6416,1.1839,11.1103,1495
28671,-0.7266,1.6472,10.4279,1487
28676,-1.1193,1.8567,10.6159,1491
28681,-0.9697,1.2977,11.2073,1491
28686,-0.589,1.2582,11.0564,1485
28691,-0.7685,1.8052,10.3525,1491
28696,-1.1552,1.907,10.7093,1481
28701,-0.9457,1.2857,11.2719,1500
28706,-0.5686,1.2414,10.9367,1481
28711,-0.8248,1.8076,10.3956,1483
28716,-1.154,1.7095,10.7631,1485
28721,-0.8619,1.166,11.2994,1483
28726,-0.5363,1.4066,10.7931,1493
28731,-0.8643,1.9178,10.392,1483
28736,-1.1408,1.7968,10.9092,1493
28741,-0.8056,1.1277,11.2982,1481
28746,-0.6045,1.4724,10.744,1492
28751,-0.972,1.8292,10.416,1485
28756,-1.1899,1.6137,11.0085,1495
28761,-0.759,1.1157,11.1869,1491
28766,-0.6464,1.6723,10.6135,1490
28771,-1.0235,1.9764,10.4555,1484
28776,-1.0977,1.5814,11.1043,1463
28781,-0.6668,1.148,11.1821,1483
28786,-0.6309,1.5897,10.5512,1494
28791,-1.0714,1.8747,10.5333,1486
28796,-1.0678,1.4054,11.2156,1484
28801,-0.644,1.1875,11.1522,1495
28806,-0.6333,1.6855,10.471,1484
28811,-1.081,1.9249,10.6243,1487
28816,-1.0702,1.4066,11.2108,1477
28821,-0.6656,1.239,11.0528,1500
28826,-0.7626,1.7083,10.3825,1494
28831,-1.1504,1.8208,10.6889,1489
28836,-0.9589,1.2773,11.2611,1483
28841,-0.5531,1.2629,10.9882,1486
28846,-0.7961,1.8292,10.392,1494
28851,-1.148,1.8196,10.7619,1485
28856,-0.8667,1.2163,11.2887,1485
28861,-0.5411,1.3803,10.8362,1501
28866,-0.8763,1.8627,10.4172,1479
28871,-1.1971,1.7657,10.8445,1491
28876,-0.8954,1.1516,11.2863,1483
28881,-0.6117,1.5455,10.7919,1491
28886,-0.929,1.8806,10.3561,1486
28891,-1.1684,1.7035,10.9966,1501
28896,-0.7626,1.1372,11.236,1485
28901,-0.5974,1.6101,10.6662,1485
28906,-0.9481,1.8902,10.416,1480
28911,-1.081,1.5993,11.0935,1483
28916,-0.7338,1.1265,11.2108,1483
28921,-0.6381,1.634,10.5572,1495
