timestamp_ms,ax,ay,az,acs_adc
1157691,-0.8188,1.5227,10.9535,1383
1157696,-0.8954,1.47,10.9152,1381
1157701,-0.8487,1.4856,10.92,1379
1157706,-0.8811,1.5131,10.9415,1380
1157711,-0.8894,1.4844,10.8769,1384
1157716,-0.8236,1.4952,10.9439,1381
1157721,-0.8751,1.4712,10.9032,1381
1157726,-0.8344,1.4892,10.9247,1381
1157731,-0.8906,1.4856,10.8972,1383
1157736,-0.8643,1.4712,10.8745,1380
1157741,-0.8847,1.5167,10.9762,1383
1157746,-0.9337,1.4676,10.896,1373
1157751,-0.8332,1.5191,10.8996,1381
1157756,-0.8918,1.4557,10.8828,1381
1157761,-0.8404,1.5071,10.9595,1385
1157766,-0.8882,1.5,10.9355,1383
1157771,-0.8404,1.4892,10.8936,1383
1157776,-0.8487,1.5191,10.9475,1380
1157781,-0.8751,1.5179,10.8876,1383
1157786,-0.8475,1.5143,10.9212,1381
1157791,-0.8859,1.4581,10.8517,1407
1157796,-0.8152,1.5024,10.9726,1382
1157801,-0.8643,1.4664,10.9104,1387
1157806,-0.8547,1.4988,10.9068,1375
1157811,-0.8607,1.4712,10.9726,1383
1157816,-0.8607,1.47,10.896,1379
1157821,-0.8679,1.4916,10.9439,1381
1157826,-0.9098,1.4497,10.8781,1379
1157831,-0.8487,1.5036,10.9666,1383
1157836,-0.8799,1.4688,10.8996,1381
1157841,-0.8499,1.4844,10.902,1383
1157846,-0.8535,1.5,10.9176,1381
1157851,-0.8715,1.4593,10.8948,1383
1157856,-0.8751,1.5143,10.9595,1379
1157861,-0.8966,1.47,10.9128,1384
1157866,-0.8356,1.4916,10.9451,1381
1157871,-0.8332,1.488,10.8912,1383
1157876,-0.8655,1.5012,10.8828,1383
1157881,-0.8655,1.488,10.9427,1384
1157886,-0.899,1.4676,10.8852,1382
1157891,-0.814,1.5012,10.9702,1383
1157896,-0.9002,1.4246,10.8733,1384
1157901,-0.8392,1.4916,10.9403,1381
