feature,importance
az_mean,0.08073127796570387
rpm_min,0.07653568069388211
ay_std,0.05968265414212195
ay_rms,0.05404049862965655
rpm_median,0.05309173234678519
ax_crest,0.049054293431333336
ax_rms,0.04735165758587855
ay_p2p,0.04713185327575842
ax_std,0.04425964314917776
rpm_max,0.04041933567901444
acs_rms,0.02780956662057132
acs_mean,0.026460210336200506
rpm_mean,0.026094042944549183
acs_min,0.025690819834785248
spectral_energy,0.024488311500955873
ax_peak,0.024007087331934553
ay_peak,0.021745659423594223
ax_p2p,0.020767748415276885
acc_mag_p2p,0.01976331620233466
az_std,0.01903609805087446
ay_crest,0.017096015947241375
az_p2p,0.016934376071007968
az_rms,0.016836744384788077
acc_mag_peak,0.016542299185632423
rpm_p2p,0.016138965834916166
az_peak,0.01583698721151598
rpm_std,0.01395235755560392
acs_max,0.013178843303761751
dominant_frequency_Hz,0.01297824821622027
rpm_cv_percent,0.012654669554290779
acc_mag_std,0.011312189518181356
spectral_centroid_Hz,0.010944444713047495
acc_mag_rms,0.010114479892884401
az_crest,0.009334351998401593
acs_std,0.005142096553326301
dominant_amplitude,0.0037869746032737697
ay_mean,0.0036317980361184844
acs_p2p,0.0021741020615692343
rpm_slope_rpm_per_s,0.001675514068080149
ax_mean,0.0015730537297494523
