dataset_type,fault_id,file,iteration,segment,window,rpm_raw_mean,rpm_raw_median,rpm_mean,rpm_median,rpm_invalid_samples,rpm_valid_fraction
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,0,2950.59235,3057.64,3057.613385416667,3057.64,8,0.96
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,1,3059.89565,3059.98,3059.89565,3059.98,0,1.0
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,2,3060.481050000001,3060.44,3060.481050000001,3060.44,0,1.0
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,3,3060.8259000000003,3060.76,3060.8259000000003,3060.76,0,1.0
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,4,3062.04525,3062.01,3062.04525,3062.01,0,1.0
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,5,3060.8433999999997,3060.99,3060.8433999999997,3060.99,0,1.0
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,6,3061.9947,3062.47,3061.9947,3062.47,0,1.0
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,7,3059.6620999999996,3060.13,3059.6620999999996,3060.13,0,1.0
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,8,3059.7928500000003,3059.66,3059.7928500000003,3059.66,0,1.0
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,9,3060.0380999999998,3061.54,3060.0380999999998,3061.54,0,1.0
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,10,3056.3553500000003,3055.92,3056.3553500000003,3055.92,0,1.0
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,11,3057.4904500000002,3057.48,3057.4904500000002,3057.48,0,1.0
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,12,3058.4754500000004,3058.57,3058.4754500000004,3058.57,0,1.0
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,13,3058.2823000000003,3058.42,3058.2823000000003,3058.42,0,1.0
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,14,3058.2146999999995,3058.42,3058.2146999999995,3058.42,0,1.0
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,15,3056.8597499999996,3056.7,3056.8597499999996,3056.7,0,1.0
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,16,3058.3491999999997,3058.42,3058.3491999999997,3058.42,0,1.0
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,17,3058.8235499999996,3058.88,3058.8235499999996,3058.88,0,1.0
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,18,3058.22635,3058.1,3058.22635,3058.1,0,1.0
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,19,3059.3270999999995,3059.35,3059.3270999999995,3059.35,0,1.0
healthy,HEALTHY,healthy_cc_01A_1.csv,1,0,20,3059.5105999999996,3058.73,3059.5105999999996,3058.73,0,1.0
healthy,HEALTHY,healthy_cc_01A_2.csv,2,0,0,3057.6746999999996,3057.79,3057.6746999999996,3057.79,0,1.0
healthy,HEALTHY,healthy_cc_01A_2.csv,2,0,1,3055.9270500000002,3055.77,3055.9270500000002,3055.77,0,1.0
healthy,HEALTHY,healthy_cc_01A_2.csv,2,0,2,3057.4039500000003,3057.32,3057.4039500000003,3057.32,0,1.0
healthy,HEALTHY,healthy_cc_01A_2.csv,2,0,3,3057.1174,3056.86,3057.1174,3056.86,0,1.0
healthy,HEALTHY,healthy_cc_01A_2.csv,2,0,4,3058.9501,3059.66,3058.9501,3059.66,0,1.0
healthy,HEALTHY,healthy_cc_01A_2.csv,2,0,5,3057.1696,3057.17,3057.1696,3057.17,0,1.0
healthy,HEALTHY,healthy_cc_01A_2.csv,2,0,6,3056.4049000000005,3056.31,3056.4049000000005,3056.31,0,1.0
healthy,HEALTHY,healthy_cc_01A_2.csv,2,0,7,3057.6748,3058.1,3057.6748,3058.1,0,1.0
