timestamp_ms,ax,ay,az,acs_adc
15006,10.064,-7.0832,16.0435,1557
15011,-11.2516,-0.1856,11.4694,1545
15016,-12.7779,3.2453,4.1623,1546
15021,7.3478,8.6191,8.0397,1551
15026,14.6477,-2.6157,14.4035,1544
15031,-12.1733,-1.4712,18.4138,1549
15036,-15.2343,0.6871,5.1739,1541
15041,0.9732,7.0773,4.9033,1544
15046,15.0751,4.2581,13.9594,1554
15051,-0.6752,-6.3674,19.4313,1533
15056,-10.9822,-0.4202,7.1096,1532
15061,-7.7907,5.4492,3.2406,1543
15066,11.7064,8.2684,12.1147,1543
15071,10.3537,-6.2106,15.8688,1530
15076,-12.706,-0.832,12.7419,1555
15081,-12.6079,3.3399,3.8391,1543
15086,6.0394,8.2672,8.3378,1533
15091,16.2578,-1.1384,13.5823,1528
15096,-10.7308,-2.4983,20.0766,1516
15101,-13.5584,0.1472,5.6551,1557
15106,-1.0918,6.9899,3.3411,1543
15111,14.3544,5.0996,14.5807,1563
15116,0.5411,-5.8083,18.8867,1528
15121,-13.5919,-1.5479,7.9224,1555
15126,-6.8797,5.3786,3.1603,1529
15131,10.5512,8.8741,12.3505,1553
15136,13.8313,-6.0897,14.8249,1531
15141,-12.2906,-0.2071,14.5974,1560
15146,-14.0552,2.223,4.5945,1543
15151,4.8387,7.9535,5.7209,1551
15156,14.4191,0.1269,14.7172,1528
15161,-9.7695,-2.6384,19.757,1541
15166,-14.3676,-0.431,5.7353,1547
15171,-1.0774,6.5649,3.9217,1529
15176,14.4143,6.6056,13.9821,1549
15181,4.3682,-7.5896,18.3755,1541
15186,-10.7476,-0.2993,8.2528,1555
15191,-9.9084,4.4341,3.1292,1543
15196,9.2404,8.7891,10.1179,1557
15201,12.6869,-4.6962,15.2666,1533
15206,-12.7575,-1.2785,15.5503,1571
15211,-13.5955,1.9992,4.4676,1545
15216,4.1492,7.8578,6.6906,1571
15221,16.083,1.2977,13.4123,1525
15226,-7.835,-4.4257,20.8822,1563
15231,-12.815,-0.4286,6.092,1544
15236,-3.8702,6.1818,3.0203,1532
15241,12.8617,7.2233,13.617,1532
15246,5.3642,-6.4943,17.6692,1554
15251,-12.6905,-1.6424,9.8114,1549
15256,-9.6043,4.5191,3.4608,1549
15261,8.7736,8.9759,10.7009,1533
15266,15.1613,-4.1444,13.6936,1526
15271,-12.8353,-1.008,17.5459,1565
15276,-14.5244,1.0307,5.2373,1531
15281,2.49,7.853,4.7609,1554
15286,14.8297,2.1691,14.2635,1520
15291,-5.6252,-4.2557,20.1017,1553
15296,-14.5927,-1.1899,6.5158,1545
15301,-4.1803,6.0944,3.4764,1557
15306,12.4175,7.8853,13.5177,1527
15311,8.9938,-7.191,16.271,1559
15316,-11.0397,-0.2729,10.9164,1551
15321,-12.5121,3.5326,4.2306,1557
15326,8.5078,8.8693,8.6179,1549
15331,14.3532,-3.4453,14.3018,1526
15336,-12.2068,-1.0738,17.9529,1549
15341,-15.8568,0.8392,5.0542,1577
15346,1.5718,7.3658,5.1451,1545
15351,15.0595,3.4776,13.8469,1541
15356,-2.5175,-5.4719,19.745,1543
15361,-11.2372,-0.7063,6.7876,1545
15366,-6.7912,5.8275,3.3279,1519
15371,12.5145,7.8434,12.7539,1529
15376,9.1399,-6.5924,16.2602,1549
15381,-12.202,-0.6656,11.6119,1549
15386,-12.2858,3.6009,3.6356,1557
15391,6.7852,8.6562,9.0357,1541
15396,16.2339,-2.2529,13.6853,1546
15401,-11.7579,-1.6987,19.399,1531
15406,-13.9211,0.3795,5.4827,1553
15411,0.085,7.2772,3.8678,1529
15416,14.7902,4.063,14.5567,1549
15421,-1.6879,-5.3929,19.4912,1547
15426,-14.0552,-1.318,7.2628,1555
15431,-5.8634,5.6575,3.1065,1523
15436,11.2851,8.5904,12.9514,1545
15441,12.5324,-6.7325,15.2882,1533
15446,-12.068,0.0144,13.1561,1567
15451,-13.5476,2.6791,4.3012,1533
15456,5.9747,8.2995,6.669,1545
15461,14.9063,-1.2534,14.6741,1532
15466,-11.3533,-1.9513,19.2147,1549
15471,-14.9255,0.1484,5.2936,1557
15476,-0.0766,6.7696,4.3682,1533
15481,14.8057,5.5186,13.9845,1533
15486,2.1141,-7.2365,18.8998,1527
15491,-10.9164,-0.2251,7.5765,1565
15496,-8.9687,4.8698,3.1999,1525
15501,10.5237,8.6155,11.1881,1562
15506,11.8597,-5.7126,15.6066,1527
15511,-13.2974,-0.9098,14.1509,1561
15516,-13.1035,2.8168,3.9289,1543
15521,5.047,8.0553,7.6172,1508
15526,16.3811,0.0503,13.4853,1523
15531,-9.3122,-3.5482,20.6823,1547
15536,-13.1059,-0.0263,5.7593,1543
15541,-2.7174,6.6415,3.2034,1526
15546,13.787,6.0573,14.2144,1551
15551,3.3028,-6.5182,18.318,1547
15556,-12.9191,-1.2198,8.655,1549
15561,-8.7616,4.9692,3.0801,1541
15566,9.3194,8.9028,11.6574,1548
15571,14.7219,-5.1356,14.3449,1523
15576,-12.5935,-0.4956,16.1226,1567
15581,-14.358,1.6245,4.8507,1528
15586,3.7745,8.0445,5.217,1566
15591,15.1996,0.9313,14.6693,1527
15596,-7.7907,-3.5099,20.2813,1554
15601,-15.3061,-0.7183,5.952,1542
15606,-2.8096,6.2979,3.4895,1545
15611,13.1059,7.3095,14.0611,1527
15616,7.2592,-7.4723,17.1724,1533
15621,-10.6039,-0.2586,9.487,1543
15626,-11.2743,4.045,3.7553,1548
15631,9.0621,8.6036,9.3757,1531
