feature,importance
rpm_min,0.10390360023521422
az_mean,0.0733431326179539
rpm_median,0.05366060008093061
ay_rms,0.05207859001205297
ay_std,0.05080206740909997
ax_kurt,0.037704325836348355
rpm_p2p,0.0368223897425323
ay_p2p,0.036477264289583554
rpm_cv_percent,0.03344792144162273
az_std,0.032364601283964706
rpm_std,0.028609396604728596
az_rms,0.027699209230092524
az_peak,0.02667055036703208
order_2x_energy,0.025756530867502344
az_p2p,0.023027538638514308
ay_peak,0.022673253224160323
rpm_mean,0.02173281917008618
acc_mag_p2p,0.018536237593394216
rpm_max,0.016055974814454744
az_skew,0.015250289565529023
dominant_amplitude,0.015202281803050988
order_1x_energy,0.015089909266545146
az_kurt,0.013772406003172238
ay_kurt,0.013514336629076302
az_crest,0.01339597446130538
ax_crest,0.01297131559432783
spectral_energy,0.012539820204116288
acs_rms,0.011860561508207529
acs_mean,0.010310191144625983
ax_std,0.010180472115699026
ax_rms,0.010054041820766699
acc_mag_std,0.00965453411301664
acs_max,0.009535632866271978
acc_mag_peak,0.008853687189927201
ax_skew,0.008655022494896419
acs_min,0.008488851344701063
ay_mean,0.007263139130188133
rpm_to_current_ratio,0.007229018138701888
ax_p2p,0.006975051784740402
ay_crest,0.0069606917648835235
rpm_slope_rpm_per_s,0.006761281604763863
ay_skew,0.006556428728404296
acc_mag_crest,0.006337298621484529
acs_dI_dt_slope,0.005948670795130926
acs_std,0.0054611785760902455
ax_peak,0.005410128518205355
acc_mag_rms,0.004930230810512794
acs_p2p,0.003094351237169202
acs_dI_dt_max,0.002782618851581464
spectral_centroid_Hz,0.0019320838197955782
ax_mean,0.0015792292582448141
order_3x_energy,8.32667755987581e-05
dominant_frequency_Hz,0.0
